host,in_skew,in_kurt,out_skew,out_kurt,skew_diff,kurt_diff,n_in,n_out,wavelet_e1,wavelet_e2,wavelet_e3,status
EPIC_206042996,-0.07954358158520665,-0.3648555512706144,-0.009464113764487081,0.07452715431977941,-0.07007946782071957,-0.43938270559039383,137.0,9337.0,0.5489824119390053,0.3198817843874363,0.13113580314929296,ok
EPIC_212499991,,,,,,,,,,,,too few in/out points
EPIC_212424622,0.08170702069559087,-0.7294459660103678,0.0013435412342491274,0.05947545931126097,0.08036347946134174,-0.7889214253216288,79.0,11421.0,0.5394318063713122,0.3396166179629302,0.12095155032664921,ok
EPIC_201757695,-0.4002613082910802,1.2499298956889398,0.013563442857115126,0.1388714445478807,-0.41382475114819534,1.111058451141059,87.0,15969.0,0.8422257177966986,0.12261844262616278,0.0351558350593698,ok
DMPP-9,0.2869810050092255,0.17296024681492161,0.1756475850559622,0.36619812375669625,0.11133341995326332,-0.19323787694177463,85.0,16979.0,0.5917717527671733,0.2026633138007319,0.20556183109307435,ok
EPIC_211822797,0.38200589867595836,-0.488920637581467,0.03442173855410864,0.06730213640694283,0.34758416012184973,-0.5562227739884098,153.0,14820.0,0.5692862096853802,0.3725175200847994,0.05819626048769125,ok
EPIC_201841433,0.14855021113657513,-0.22474064464943577,0.005445003684415752,0.054108875237086185,0.14310520745215938,-0.27884951988652196,193.0,15659.0,0.5387429373861359,0.23153281059451553,0.2297242495199894,ok
EPIC_201595106,-0.39398602117172216,1.105155694549361,0.028350682792953625,0.09213567359683994,-0.42233670396467576,1.013020020952521,129.0,15875.0,0.6092577424984492,0.27870974942575,0.1120322509681791,ok
EPIC_211945201,0.015948222764518304,-0.6466177954560197,0.09248643665702132,0.147851692833338,-0.07653821389250301,-0.7944694882893577,134.0,14868.0,0.4583351404471773,0.3503474931600042,0.191316292609543,ok
EPIC_212737443,-0.18799470071933796,-0.9181999390093303,0.025525525783258212,0.08976700850466468,-0.21352022650259617,-1.007966947513995,49.0,10083.0,0.6589306446809359,0.28850687337860437,0.052562480635862184,ok
EPIC_212624936,-0.05990902590195408,-0.04695756669217577,-0.031218279672546503,0.07343337188259547,-0.028690746229407576,-0.12039093857477123,321.0,10402.0,0.5216534313203748,0.22847640851434242,0.24987014937048282,ok
