host,tic_id,rad,e_rad,mass,e_mass,Teff,logg,e_logg,rho,e_rho,lum,lumclass,priority,contratio,numcont
TOI-1518,427761355,1.82241,0.140201,2.537,0.504057,9918.0,4.32109,0.146227,0.419161,0.144453,28.952364,DWARF,0.000236186141,0.00750551047,279
TOI-157,140691463,1.10646,0.0579346,1.0,0.132466,5638.0,4.35019,0.0823582,0.738223,0.169424,1.11447418,DWARF,0.00195524259,0.00186311291,124
TOI-159,394657039,1.58746,0.0717136,1.53,0.269377,6979.2,4.22135,0.0896612,0.382456,0.0911641,5.38671,DWARF,0.00174578757,0.01220639,76
TOI-1601,139375960,2.22362,0.118086,1.08,0.136101,5917.0,3.77737,0.082647,0.0982296,0.0229862,5.46036863,DWARF,0.0005818452,0.0200317632,152
TOI-163,179317684,1.66402,0.0781055,1.41,0.244606,6671.0,4.14497,0.0899569,0.306018,0.071384,4.94052362,DWARF,0.002217581,0.0607177876,2960
TOI-1630,317597583,0.831212,0.0421156,0.95,0.125199,5427.0,4.57637,0.0802398,1.6542,0.368421,0.5399551,DWARF,0.0073709297,0.07273492,237
TOI-1648,376353509,0.844876,0.056397,0.78,0.0927652,4836.0,4.47658,0.0875885,1.29335,0.34277,0.351743668,DWARF,0.0004314635,0.0107980948,185
TOI-1659,288631580,1.00568,0.0478392,1.098,0.139672,5977.0,4.47375,0.0791614,1.07949,0.235032,1.16292238,DWARF,0.00614340371,0.0148423687,82
TOI-1669,428679607,1.06961,0.0516834,0.977,0.123553,5550.0,4.36951,0.0752286,0.798401,0.170428,0.977948,DWARF,0.00375769124,0.00382006215,119
TOI-1670,441739020,1.31225,0.0568342,1.258,0.187763,6345.0,4.30171,0.084156,0.556706,0.122996,2.514534,DWARF,0.00746768527,0.0203641336,63
TOI-1683,58542531,0.695095,0.0594975,0.69,0.0862442,4402.0,4.59283,0.10568,2.05455,0.651871,0.163449317,DWARF,0.00357436738,0.00164546818,126
TOI-1685,28900646,0.462408,0.013731,0.459708,0.0202729,3457.0,4.7705,0.00663534,4.6495,0.209286,0.027513314,DWARF,0.00288579031,0.150664464,407
TOI-169,183120439,1.29661,0.0621181,1.05,0.12634,5817.0,4.23364,0.0741927,0.481684,0.0994434,1.73423827,DWARF,0.000727981271,0.0203428213,271
TOI-1691,268334473,1.00422,0.0496935,1.031,0.143191,5759.0,4.44767,0.0798184,1.01807,0.232655,0.9993935,DWARF,0.00495726056,0.00139353017,68
TOI-1693,353475866,0.46126,0.0137244,0.4585,0.020293,3474.0,4.77152,0.00661752,4.67199,0.210385,0.027919367,DWARF,0.00370237813,0.07272442,292
