host,crowd_ok,crowd_note,crowd_contratio,crowd_numcont,crowd_flux_ratio_max,crowd_nearest_arcsec,crowd_target_sep_arcsec,crowd_target_tmag,crowd_n_nb_21,crowd_n_nb_42,crowd_n_nb_63
GJ_3021,1,,,,836.9123950436021,6.7820316734788255,3.97887645951928,13.2188,1.0,2.0,4.0
GJ_3082,1,,0.00175098993,42.0,0.0021959578507356,23.04465202645235,5.0795652074227435,9.14696,0.0,1.0,2.0
GJ_3090,1,,0.0131962439,44.0,0.017489604955044,27.617612955697417,2.1217250113891053,9.49275,0.0,1.0,6.0
GJ_3138,1,,5.219031,31.0,5.592422830409,8.176535988928551,8.096955060298765,11.075,1.0,1.0,1.0
GJ_3222,1,,1.14082253,27.0,1.0,1.0912266057008082,0.8471542276201197,6.1659,3.0,4.0,4.0
GJ_317,1,,,,7380.5376495919345,14.387603556367784,14.268383479248,19.1816,2.0,9.0,23.0
GJ_328,1,,,,7216.456531785217,16.22732713540484,9.703210752477627,18.0042,1.0,3.0,6.0
GJ_3293,1,,,,15.21626278752788,7.629924659340897,7.501560809735372,12.7764,2.0,3.0,4.0
GJ_3323,1,,,,1.0352375111869376,11.90056549126297,11.752757954012376,9.466,1.0,2.0,3.0
GJ_3341,1,,0.2977785,52.0,0.4428044737494387,28.792531954571977,8.583021398945478,9.99373,0.0,3.0,8.0
GJ_3378,1,,0.0162061527,150.0,0.0032947919786543,20.477359419748975,14.487320255989252,9.12867,1.0,9.0,15.0
GJ_338_B,1,,0.9041853,32.0,0.9078205301781854,26.443086395473777,13.157508687378158,5.941,0.0,1.0,2.0
GJ_341,1,,,,10054.118509022672,13.324067471845495,9.150018068573424,17.6746,10.0,58.0,123.0
GJ_3470,1,,0.000509163248,114.0,0.0001018966720123,29.510559371796937,3.0125175216091544,10.2479,0.0,2.0,6.0
GJ_3473,1,,0.0205426086,148.0,0.0563689571163274,24.9539214838994,8.598363721531413,11.1972,0.0,4.0,12.0
GJ_3512,0,"nearest source 17.5"" away; target unresolved",,,,,17.516177508218195,19.0462,,,
GJ_357,0,"nearest source 15.1"" away; target unresolved",,,,,15.112018420240595,15.6541,,,
GJ_3634,1,,,,358.2217902604412,8.899922603823844,1.761221652905924,16.18,2.0,5.0,13.0
GJ_367,1,,,,345.83106332622805,11.451513128672609,9.924195986651812,14.3791,8.0,46.0,99.0
GJ_3779,1,,,,2154.9639037338534,16.460998285253094,13.292000068966644,18.6717,2.0,2.0,4.0
GJ_3929,1,,0.000765115,57.0,0.0001586938147414,18.9055372374592,5.4091679335056675,10.2705,1.0,1.0,6.0
GJ_393,1,,0.000473817228,34.0,0.000592428577772,37.23210627259229,14.700702944714669,7.55839,0.0,1.0,4.0
GJ_3942,1,,0.000203799922,51.0,2.5458217938352334e-05,16.631112174333538,3.30386919179431,8.42457,1.0,2.0,4.0
GJ_3988,1,,0.01057324,61.0,0.0,52.9792643466049,9.65211143427874,10.5929,0.0,0.0,4.0
GJ_411,1,,,,5.435005651294468,8.768082283888676,6.471722123272312,7.49,2.0,2.0,6.0
GJ_414_A,1,,0.3146502,18.0,0.0001345612460249,25.390959577925205,9.666552348573552,6.919,0.0,3.0,5.0
GJ_4274,1,,,,1.2014895559094394,12.29514821321786,12.117001273397475,10.2753,2.0,5.0,7.0
GJ_422,1,,,,1107.33748074159,5.6884170650847565,5.053924362810566,18.526,37.0,108.0,268.0
GJ_433,1,,0.0006117066,124.0,5.945768557053997e-05,28.57908793600439,13.23125383271954,7.80742,0.0,4.0,10.0
GJ_4276,1,,,,989.737441913214,5.167047026472262,4.971502670665845,17.8742,12.0,27.0,65.0
GJ_436,0,"nearest source 18.8"" away; target unresolved",,,,,18.752734399044375,8.40346,,,
GJ_463,1,,0.11032819,34.0,0.1274700041651559,14.486887805055751,11.932901666513423,9.39352,1.0,1.0,5.0
GJ_480,0,"nearest source 18.3"" away; target unresolved",,,,,18.331162004867377,9.10756,,,
GJ_486,0,"nearest source 17.2"" away; target unresolved",,,,,17.18102901117848,8.8223,,,
GJ_504,1,,0.000947699242,34.0,0.0002359826099041,22.859730617986596,5.996269866438543,4.6552,0.0,3.0,6.0
GJ_508.2,1,,0.000247758668,26.0,8.691205124565217e-05,19.457756258739707,8.799754026080914,8.969,1.0,2.0,3.0
GJ_514,0,"nearest source 24.1"" away; target unresolved",,,,,24.13462919859719,7.16738,,,
GJ_536,0,"nearest source 15.8"" away; target unresolved",,,,,15.799712001386728,7.81159,,,
GJ_581,1,,,,1767.2093473685304,18.992550318100633,12.264660405853991,16.3206,2.0,5.0,15.0
GJ_625,1,,0.0002525686,58.0,9.041156774178944e-05,10.998720225304949,7.206356281258635,8.02476,1.0,4.0,5.0
GJ_649,1,,0.00257106964,90.0,0.0032893644920505,36.77767664022305,8.073245609877377,7.76978,0.0,4.0,8.0
GJ_674,1,,,,272.5787527604251,9.07383905922937,3.3394685010167837,13.2466,29.0,171.0,396.0
GJ_680,1,,,,7.953018633814263,6.6217908042193185,5.17582988875468,10.4278,25.0,109.0,256.0
GJ_676_A,1,,0.0449780822,2257.0,0.0007813830749328,8.349892709334089,4.914745857234525,7.90696,14.0,90.0,206.0
GJ_685,1,,0.00355154765,71.0,0.00050792080222,21.886590193402093,8.947139439562065,8.16639,0.0,6.0,11.0
GJ_687,0,"nearest source 20.3"" away; target unresolved",,,,,20.295467153900653,6.848,,,
GJ_682,1,,,,1.7651109128778577,7.678131583858934,0.7652797793139363,8.863,30.0,150.0,318.0
GJ_720_A,1,,0.0007707478,167.0,0.000231543183428,16.68754583308098,8.994401508760554,8.13518,2.0,7.0,11.0
GJ_724,1,,,,6956.64753528352,7.400989904185814,5.928762921934433,18.288,40.0,188.0,452.0
GJ_806,1,,,,473.09896724157113,3.460194717581861,1.4675157736677715,15.415,6.0,36.0,81.0
GJ_832,1,,,,27408.167516358262,12.677292894463726,10.350762485762129,17.7747,2.0,5.0,6.0
GJ_740,1,,,,3836.401039548672,13.953764373165216,12.724049392787942,16.428,5.0,42.0,88.0
GJ_86,1,,,,1686.7083698166975,32.663143109556515,2.5450330748699432,13.4264,0.0,2.0,4.0
GJ_849,1,,,,2249.096035334235,17.557592896610803,11.754911986514134,16.402,2.0,4.0,7.0
GJ_876,0,"nearest source 18.2"" away; target unresolved",,,,,18.151997670733977,7.57703,,,
GJ_887,0,"nearest source 23.6"" away; target unresolved",,,,,23.550264815468637,17.849,,,
GJ_896_A,1,,,,88.00675339762317,3.918598235176298,3.410213110042058,12.6555,2.0,5.0,8.0
GJ_900_A,1,,,,15.876691277406367,5.285491888310178,1.1822923946540742,11.0319,2.0,3.0,6.0
GJ_9066,0,"nearest source 32.3"" away; target unresolved",,,,,32.271210714704125,12.71,,,
GJ_9404,1,,3.879752e-05,24.0,0.0,59.547035894982415,10.114007802438971,8.85,0.0,0.0,1.0
GJ_96,1,,0.0163973514,216.0,0.0072405573868893,29.97469518068124,3.406833926719455,7.64213,0.0,11.0,32.0
GJ_9689,1,,0.05425232,835.0,0.0478916720606325,10.385354884848091,6.546640807448684,9.54885,10.0,46.0,96.0
GJ_9714,1,,,,76.89179510500702,4.2595521642004766,1.5272076805934158,12.7995,3.0,5.0,13.0
