host,pool,gaia_ruwe,gaia_nss,gaia_gmag,gaia_sep_arcsec,gaia_source,gaia_nss_flag,gaia_ruwe_high
TIC_196853268,main,1.005,0.0,15.350347,9.36,6.734466152716924e+18,0.0,0.0
TIC_330163931,main,0.883,0.0,13.757601,5.1000000000000005,4.037881999849131e+18,0.0,0.0
TIC_31566952,main,1.07,0.0,16.063345,20.1,5.955540019301063e+18,0.0,0.0
TIC_140496111,main,0.903,0.0,8.792649,81.06,5.015123154218213e+18,0.0,0.0
TIC_421218621,main,1.036,0.0,13.708741,17.52,5.913214976340205e+18,0.0,0.0
TIC_1689157636,main,1.01,0.0,18.611057,15.84,6.629541471762582e+18,0.0,0.0
TIC_1988818073,main,1.009,0.0,18.854923,16.44,6.449968133201221e+18,0.0,0.0
TIC_100615932,main,0.933,0.0,8.267348,18.12,6.471032718700887e+18,0.0,0.0
TIC_165880227,main,1.246,0.0,6.214968,13.5,4.994896061572856e+18,0.0,0.0
TIC_115271591,main,0.998,0.0,6.102385,72.72,5.010284310919786e+18,0.0,0.0
TIC_651249651,main,1.014,0.0,18.776424,25.86,5.045782490499299e+18,0.0,0.0
TIC_165886263,main,2.209,0.0,9.959872,16.8,4.991634978804471e+18,0.0,1.0
TIC_197054642,main,,,,,,,
TIC_616603369,main,1.138,0.0,18.827164,30.42,5.013838654054223e+18,0.0,0.0
TIC_1922320758,main,0.973,0.0,17.815392,23.94,6.420643131594435e+18,0.0,0.0
TIC_1923409577,main,0.973,0.0,18.91269,13.98,6.644693600984844e+18,0.0,0.0
TIC_234521067,main,,0.0,9.643271,29.34,4.90274822543218e+18,0.0,
TIC_212649145,main,1.053,0.0,16.398975,16.62,5.925996519823395e+18,0.0,0.0
TIC_247459453,main,1.765,0.0,7.308678,45.0,5.964110819830735e+18,0.0,1.0
TIC_370082509,main,1.466,0.0,12.533894,83.88,6.642410671250666e+18,0.0,1.0
TIC_2027231843,main,0.958,0.0,18.710424,40.2,6.55949402549629e+18,0.0,0.0
TIC_372980435,main,1.105,0.0,11.780991,41.34,5.925034687682011e+18,0.0,0.0
TIC_343958580,main,4.773,0.0,8.70506,31.380000000000003,6.64318696511531e+18,0.0,1.0
TIC_327918216,main,1.017,0.0,8.813771,2.6999999999999997,4.707519829861563e+18,0.0,0.0
TIC_254015508,main,2.977,0.0,14.015208,31.74,6.716804147679844e+18,0.0,1.0
TIC_1533122281,main,0.994,0.0,17.311111,23.64,5.957620638903063e+18,0.0,0.0
TIC_195170680,main,0.875,0.0,13.979682,3.9,4.039041950235775e+18,0.0,0.0
TIC_1923663333,main,1.181,0.0,18.913048,12.48,6.658808718946431e+18,0.0,0.0
TIC_339262037,main,1.018,0.0,15.289729,15.48,6.440375345222603e+18,0.0,0.0
TIC_308241480,main,0.979,0.0,12.332679,18.24,5.048970971140418e+18,0.0,0.0
TIC_1988280713,main,0.978,0.0,19.075737,34.86,6.422265422342853e+18,0.0,0.0
TIC_352438054,main,,,,,,,
TIC_382388574,main,1.118,0.0,12.164975,20.4,6.421884755101543e+18,0.0,0.0
TIC_320841837,main,1.049,0.0,5.962172,37.8,6.447753686719217e+18,0.0,0.0
