host,tic_id,n_sectors_measured,sectors,mean_depth,sector_depth_frac_scatter,sector_depth_chi2red,status
KIC_10525077,158489091,3.0,"80,81,82",0.004156023263931274,2.1704234278162087,4.663985571140754,ok
KIC_10068024,158840777,5.0,"74,75,80,81,82",0.0007986962795257568,2.8833551295900275,16.80199266758882,ok
KIC_10001893,158488181,5.0,"14,15,26,40,41",0.0036606013774871824,1.525690411866517,2.4422033362333972,ok
KIC_5437945,121603086,4.0,"74,75,80,81",0.0011712461709976196,1.3316840032565678,0.8665487880849344,ok
KMT-2016-BLG-1397L,1610113237,,,,,,no ephemeris
KIC_3558849,138888805,5.0,"40,41,54,55,74",0.002081376314163208,3.449092860490276,6.499642533819861,ok
KMT-2018-BLG-1990L,1448047606,,,,,,no ephemeris
KMT-2021-BLG-0912L,1419013002,,,,,,no ephemeris
KMT-2018-BLG-1292L,101742116,2.0,"92,12",0.13687436282634735,1.4253862627955216,169.47202684905562,ok
KIC_5479689,171975725,5.0,"74,75,81,82,14",-0.00019038915634155272,3.7497332711145166,0.5513767241572315,ok
KIC_8121913,268484648,5.0,"74,75,81,82,14",0.00021485686302185058,3.906765433606514,16.23596139884702,ok
KIC_7917485,268924604,5.0,"74,75,81,82,14",9.35971736907959e-05,20.898023390223823,11.05984479489144,ok
KOBE-1,16917838,3.0,"17,57,84",0.00019123156865437826,0.865739469165078,22.74453409339042,ok
KIC_9663113,272844987,5.0,"74,75,81,82,14",-0.0012140810489654542,2.619850006992539,1.9273137011836345,ok
KOI-12,169461816,5.0,"14,15,54,55,74",0.00040576457977294924,0.7624708152234085,4.9682115244816405,ok
KOI-134,271772050,5.0,"74,75,81,82,14",-0.00015558600425720216,2.2117385559974583,0.2411589286218614,ok
KOI-1257,159647910,4.0,"74,75,81,82",0.0008688047528266907,0.9988309752891726,0.13762290819169512,ok
KOI-2513,270618386,3.0,"81,14,15",3.6096537211982063,1.0346447018888314,0.26016318653784787,ok
KOI-142,122712595,5.0,"40,41,54,55,74",-0.00014086365699768067,3.2825223318778285,0.9011037519997438,ok
KOI-1599,170647523,5.0,"74,75,81,82,14",0.005344959194517385,1.8427313396402791,7.021822141573593,ok
KOI-217,271354351,5.0,"40,41,54,74,75",0.004007184505462646,2.0983075712364214,15.4895218301628,ok
KOI-3503,138097784,4.0,"74,75,81,82",-0.00124359130859375,1.0145126364994719,0.7024389164898417,ok
KOI-1783,159051209,5.0,"14,15,74,75,80",-0.00026705265045166013,6.034525305244144,2.161862740269411,ok
KOI-4978,120962288,2.0,"80,81",0.0011672228574752808,4.814385144527351,2.9622961042231806,ok
KOI-351,267667295,5.0,"74,75,80,81,82",0.0006949424743652344,1.9653451084939353,4.250034863907571,ok
KOI-4777,158427808,5.0,"40,41,53,80,81",0.0009662270545959473,1.5594110270750918,1.0659535245361056,ok
KOI-3680,275574174,4.0,"74,75,81,82",-0.0006451830267906189,2.375591699847935,0.41453992557470176,ok
KOI-7368,27010191,4.0,"40,54,55,74",0.0046300143003463745,4.2729309676288425,152.4290973641463,ok
KOI-7892,123449386,5.0,"40,41,53,54,74",0.0005576014518737793,3.330772941396372,2.568786861016573,ok
