host,label,status,elapsed_s,multi_transit_depth_chi2red,n_transits_used,power_ratio_half_period,power_ratio_double_period
GJ_682,1,Success,92.46209573745728,2.1551507140640567,3,0.5835151864755698,
GJ_536,1,Success,219.6989197731018,0.30075801522297074,3,0.0868724207363176,
GJ_687,1,Success,111.95971202850342,2.918902448835189,3,0.7356901902973494,
GJ_740,1,Success,40.942877769470215,1.1010107177568464,9,0.33805467200474565,0.3915264114992875
GJ_720_A,1,Success,65.02103877067566,0.6681433474440847,8,0.5072131749298551,0.2202596962794869
GJ_724,1,Success,71.8974277973175,4.797436711665311,4,-0.10617195348190069,0.6001292098177156
GJ_581,1,Success,277.75649070739746,6.431820766335858,5,0.07216091193119459,0.19816806782079138
GJ_86,1,Success,48.44926476478577,1.0675590371207624,17,0.1823509429978823,0.5099840385271827
GJ_832,1,Success,72.05481195449829,4.0452890850563525,3,0.9046210712719912,
GJ_806,1,Success,111.68176484107971,1.0638876256769794,28,0.3413338489098616,0.3591777962131343
GJ_849,1,Success,165.95021724700928,0.6912422628950944,14,0.26220775959006576,0.09971426305637729
GJ_887,1,Success,112.5434980392456,0.9760189580217845,20,0.4394477709791256,0.07108313213262463
GJ_876,1,Success,146.3924720287323,9.784613069109634,3,0.4196704456502589,
GJ_9404,1,Success,62.74300694465637,2.807777616627244,19,0.2568676061763775,0.8636701893323889
GJ_96,1,Success,70.54780006408691,2.5594567080268846,8,0.4488225680604633,0.0505448309787898
GJ_680,1,Success,431.2494640350342,4.328831473322638,3,0.9910131841027596,
GJ_4274,1,Success,691.1773130893707,19.356358884390367,3,0.43206885511467336,
GJ_900_A,1,Success,228.40967893600464,14.955411058055214,2,0.7857097725248161,
GJ_9689,1,Success,75.20048427581787,1.201831764894001,5,0.04670763921838139,-0.13262581200835138
GQ_Lup,1,Success,13.143236875534058,38.27398393040973,2,-0.11724629187990339,
GJ_9714,1,Success,78.9762692451477,109.96515402076837,2,0.30961774927861846,
GPX-1,1,Success,42.21769309043884,1.364146906451052,16,,0.18737074182972294
GJ_9773,1,Success,101.9969551563263,1.2678559039309685,15,0.33377482029672273,0.3212424918376344
GJ_9066,1,Success,204.0110740661621,31.20454616805556,2,0.21799602672941937,
GU_Psc,1,Success,51.61047601699829,2.9560621615443017,18,0.7463948006888503,0.6532201310346432
G_196-3,1,Success,83.0368320941925,359.3995970865674,3,0.5080318148704794,
G_264-012,1,Success,99.89662194252014,73.9924849480173,44,0.26071146804008427,0.04885854342010694
G_268-110,1,Success,123.11481499671936,1.210751799793245,10,0.8832686543670673,0.4034814076903885
Gaia-1,1,Success,41.52754592895508,1.7040601165741784,6,0.564301463385319,0.41714045191498494
G_192-15,1,Success,196.24898290634155,2.2989661309138403,143,,0.5774813286593705
Gaia-2,1,Success,41.71695590019226,14.590865857452217,4,0.04958521423682157,0.2884665520080028
GJ_9827,1,Success,246.7503638267517,0.5079702790671095,14,0.2903482899341415,0.5558008464886066
G_9-40,1,Success,123.40761017799377,0.375235044723202,4,0.4220495243647714,0.36341729453156973
Gaia-4,1,Success,56.05534482002258,3.239205723937308,6,0.6013426705010296,0.9534404364141916
GJ_896_A,1,Success,505.75775718688965,135.86520436910922,6,0.28736484415045743,0.29610856092165144
Gl_378,1,Success,64.69187617301941,3.264537778508691,5,-0.13664836258059554,-0.18017051247734034
Gl_49,1,Success,57.10035586357117,25.16948971542961,4,0.6523573096819586,
Gl_410,1,Success,75.05875563621521,390.55516575358615,2,0.3267274444820027,
Gl_686,1,Success,60.746350049972534,0.7949143140360612,7,0.1336422736317823,-0.031442632917651
