host,sec_depth_windowed,sec_significance,sec_sigma_eff,sec_n_in_window,sec_status
HAT-P-56,0.0036103684457829965,18.995219543443056,0.00019006721335996648,105,ok
HAT-P-54,-0.0003367176838489083,-0.8847920448468439,0.00038056138254180804,135,ok
HAT-P-58,-0.00011649261568447145,-0.6546011985488169,0.0001779596736802858,488,ok
HAT-P-59,1.264387223165464e-05,0.07459741960876487,0.00016949476668183628,144,ok
HAT-P-38,-6.668153854438863e-05,-0.522416307687985,0.00012764061451200795,2279,ok
HAT-P-5,2.873483663412557e-05,0.21158556328066971,0.000135807170340864,360,ok
HAT-P-63,0.0004470071990168023,0.9005457901219645,0.0004963736479810342,164,ok
HAT-P-55,-3.9732645036982817e-05,-0.10679121204823437,0.00037205912616701813,250,ok
HAT-P-62,0.00037973785429823437,2.6804585693553924,0.0001416689885229434,560,ok
HAT-P-61,0.0001614325653538362,0.7093564084529212,0.00022757610057532905,400,ok
HAT-P-65,-0.00025675661176904896,-1.2854178414259096,0.00019974564184065604,539,ok
HAT-P-68,0.0007936357957396556,2.249185465732722,0.0003528547591254824,279,ok
HAT-P-66,0.00043504229898005953,2.6316077502815762,0.00016531426423011217,670,ok
HAT-P-67,3.702809881711566e-05,0.48619794617625367,7.615848464257488e-05,141,ok
HAT-P-70,-0.00010305946661026688,-1.1556799414824785,8.91764777694979e-05,163,ok
HAT-P-9,0.0003638594635579917,2.5063906266472773,0.00014517268764474892,436,ok
HAT-P-7,0.00016290407811814234,2.9279216727336634,5.563812708351806e-05,434,ok
HATS-10,-0.00011642448316107057,-0.4925468530634585,0.000236372402822094,372,ok
HATS-1,0.000306357950804248,1.4020172951316205,0.00021851224793591957,107,ok
HATS-11,0.0010812279412174552,2.0159871376005216,0.0005363268053904152,425,ok
HAT-P-57,-9.381098198413262e-05,-0.9519776985550701,9.854325592555448e-05,705,ok
