host,sec_depth_windowed,sec_significance,sec_sigma_eff,sec_n_in_window,sec_status
HAT-P-3,8.46786685841927e-05,0.5793261178984859,0.00014616753149567267,118,ok
HAT-P-28,0.0005258748900989207,3.113478478494676,0.00016890268994349176,512,ok
HAT-P-17,5.429139485191303e-05,0.32917197658393255,0.00016493322249158646,30,ok
HAT-P-25,7.255408073458813e-05,0.26468324180767777,0.0002741166393424592,189,ok
Gliese_12,-1.8937973934152197e-05,-0.2516495938617452,7.525533279643045e-05,1510,ok
HAT-P-34,9.84064210479696e-05,0.9689226497158645,0.00010156272131405657,121,ok
HAT-P-35,0.00012088083293759766,0.8795661436871749,0.0001374323395746687,484,ok
HAT-P-30,-7.046467180604754e-05,-1.095904860936626,6.42981652128308e-05,235,ok
HAT-P-33,0.0024865982746559157,9.06960003400831,0.0002741684600568834,32,ok
HAT-P-31,0.0001264783391429214,1.4536759684754137,8.700586780392975e-05,535,ok
HAT-P-19,0.00030896353925657927,1.0708380112817375,0.0002885250019158042,654,ok
HAT-P-37,-0.03033364698828489,-28.70351264178671,0.0010567921552613398,1478,ok
HAT-P-39,0.00041289238254371696,2.894894879771665,0.00014262776359474713,536,ok
HAT-P-36,0.00015816979715188584,0.9311578467617062,0.00016986357114634644,235,ok
HAT-P-41,0.00047112797579229593,1.5984866872986938,0.0002947337500748674,30,ok
HAT-P-4,0.00025337940632386147,3.001158385807975,8.442720235028395e-05,375,ok
HAT-P-42,0.0002056202372615612,1.466699802733324,0.00014019244897856386,307,ok
HAT-P-1,-0.00013097471093037605,-1.3885487057503973,9.432489504183068e-05,1489,ok
HAT-P-43,0.00013863934643576492,0.5443480066237348,0.0002546888107401401,456,ok
HAT-P-44,-1.1347944384176856e-07,-0.0003652336839475946,0.00031070366406306355,194,ok
HAT-P-45,0.00018906043900746017,0.9718405708829362,0.00019453853303911265,227,ok
HAT-P-32,4.1262517112894415e-05,0.4329799752266717,9.529890404583457e-05,1488,ok
HAT-P-51,9.553413586882442e-06,0.03162923842171458,0.0003020437438140682,340,ok
HAT-P-52,0.0005374653989003164,1.2536879026343266,0.0004287074939232969,282,ok
HAT-P-49,0.00013871143960864085,2.301674619815356,6.026544256710294e-05,543,ok
HAT-P-46,-0.0005091747557046666,-1.731516588303394,0.0002940628805662067,228,ok
HAT-P-53,0.00019013214450880334,0.5916085218319336,0.00032138168652482124,433,ok
HAT-P-29,-2.1681215081281735e-05,-0.20750672479317467,0.00010448439732684208,2466,ok
HAT-P-50,0.0001279373936695638,1.3930481818183298,9.18398913543454e-05,556,ok
HAT-P-40,0.00019087589962318852,0.9041591362849813,0.00021110874398445106,393,ok
