host,in_frozen_test,matched,methods,n_planets,any_transit,min_incl,min_imppar
Ross_458,True,True,Imaging,1,0,,
SR_12_AB,True,True,Imaging,1,0,,
TIC_139270665,False,True,Radial Velocity|Transit,2,1,89.76,0.16
TIC_150070085,False,True,Transit,1,1,88.51,0.53
TIC_18942729,False,True,Transit,1,1,85.23412,0.500918
TIC_206466666,False,True,Transit,1,1,88.67499,0.556057
TIC_24750448,True,True,Transit,2,1,87.65911,0.478051
TIC_260969020,False,True,Transit,1,1,88.75946,0.542556
TIC_390586021,False,True,Transit,1,1,88.01119,0.340547
TIC_65612701,False,True,Transit,1,1,88.26641,0.357172
TIC_77319217,False,True,Transit,1,1,87.65397,0.498286
TIC_88785435,False,True,Transit,1,1,88.97,
TOI-1036,False,True,Transit,1,1,88.176,0.284019
TOI-1052,False,True,Radial Velocity|Transit,2,1,87.53,0.808
TOI-1062,False,True,Radial Velocity|Transit,2,1,85.913,0.861
TOI-1064,False,True,Transit,2,1,87.709,0.728
TOI-1244,False,True,Transit,1,1,88.74831,0.454823
TOI-1246,True,True,Transit,4,1,87.9,0.363994
TOI-1249,False,True,Transit,1,1,,0.635473
TOI-1301,False,True,Transit,1,1,88.12711,0.54994
TOI-139,False,True,Transit,1,1,89.32,0.395
TOI-1739,True,True,Transit,1,1,89.27,0.41
TOI-1752,False,True,Transit,2,1,86.75,0.375
TOI-1753,False,True,Transit,1,1,,0.270951
TOI-1758,True,True,Transit,1,1,,0.51475
TOI-1768,False,True,Transit,1,1,,
TOI-178,True,True,Transit,6,1,88.4,0.336
TOI-1782,False,True,Transit,2,1,87.93861,0.49522
TOI-1801,False,True,Transit,1,1,89.507,0.265
TOI-1803,False,True,Transit,2,1,88.48,0.34
TOI-2048,False,True,Transit,1,1,89.41,0.33
TOI-2088,False,True,Transit,1,1,,0.359163
TOI-2094,False,True,Transit,1,1,89.387,0.818
TOI-2096,True,True,Transit,2,1,89.24,0.28
TOI-2136,True,True,Transit,1,1,89.4,0.35
TOI-220,False,True,Transit,1,1,87.88,0.836
TOI-2211,False,True,Transit,1,1,87.169,0.505094
TOI-2227,False,True,Transit,1,1,87.52822,0.466098
TOI-2260,False,True,Transit,1,1,,0.77
TOI-244,False,True,Transit,1,1,88.32,0.61
TOI-2447,False,True,Transit,1,1,,0.277
TOI-2453,False,True,Transit,1,1,87.95086,0.681271
TOI-2459,False,True,Transit,1,1,89.59,0.321
TOI-251,True,True,Transit,1,1,87.52,0.607
TOI-260,False,True,Transit,1,1,88.84,0.679
TOI-2768,False,True,Transit,1,1,87.78,0.34
TOI-286,False,True,Transit,2,1,87.52,0.32
TOI-3353,False,True,Transit,1,1,,
TOI-375,False,True,Radial Velocity|Transit,3,1,,0.1767
TOI-4029,False,True,Transit,1,1,87.20391,0.51211
TOI-4308,False,True,Transit,1,1,89.07,0.384
TOI-4364,True,True,Transit,1,1,88.68,
TOI-4377,True,True,Transit,1,1,80.3,0.605
TOI-4551,False,True,Transit,1,1,86.9,0.31
TOI-469,False,True,Radial Velocity|Transit,3,1,86.3,0.273
TOI-470,False,True,Transit,1,1,89.527,0.253
TOI-4930,True,True,Transit,1,1,86.47959,0.63622
TOI-4994,True,True,Transit,1,1,89.56,0.18
TOI-5110,False,True,Transit,1,1,85.2,0.43
TOI-512,False,True,Transit,1,1,88.92,0.3
TOI-5126,False,True,Transit,2,1,88.79,0.24
TOI-5174,False,True,Transit,1,1,,
TOI-5335,False,True,Transit,1,1,86.1238,0.625349
TOI-5599,False,True,Transit,1,1,87.23046,0.421654
TOI-561,True,True,Transit,4,1,87.0,0.14
TOI-5624,False,True,Transit|Transit Timing Variations,5,1,89.405,0.114
TOI-5726,False,True,Transit,1,1,,
TOI-5728,True,True,Transit,1,1,89.83,0.117
TOI-5734,False,True,Transit,1,1,89.88,0.04
TOI-5786,False,True,Transit,1,1,88.9,0.33
TOI-5817,True,True,Transit,1,1,88.72,0.41
TOI-5938,False,True,Transit,1,1,88.85,0.19
TOI-6054,False,True,Transit,2,1,88.59,0.24
TOI-6109,False,True,Transit,2,1,85.6909,0.8057
TOI-6699,False,True,Transit,1,1,87.96658,0.50951
TOI-6707,False,True,Transit,1,1,87.16688,0.396029
TOI-677,False,True,Transit,1,1,85.77,0.709
TOI-712,False,True,Transit,3,1,88.22,0.28
TOI-7155,False,True,Transit,1,1,86.87115,0.618573
TOI-776,True,True,Transit,2,1,89.41,0.26
TOI-815,False,True,Transit,2,1,89.107,0.279
TOI-904,False,True,Transit,2,1,88.19,0.373
TOI-913,False,True,Transit,1,1,89.1,0.387
TOI-942,False,True,Transit,2,1,89.16,0.05
TYC_4282-00605-1,False,True,Radial Velocity,1,0,,
USco1621_A,False,True,Imaging,1,0,,
V0391_Peg,False,True,Pulsation Timing Variations,1,0,,
WASP-161,False,True,Transit,1,1,89.01,0.14
WASP-189,False,True,Transit,1,1,84.03,0.478
WISPIT_1,True,True,Imaging,2,0,,
WTS-1,True,True,Transit,1,1,85.5,0.69
bet_Cnc,False,True,Radial Velocity,1,0,,
eps_Eri,True,True,Radial Velocity,1,0,40.0,
eps_Ind_A,False,True,Radial Velocity,1,0,102.18,
eps_Tau,False,True,Radial Velocity,1,0,,
omi_CrB,False,True,Radial Velocity,1,0,,
tau_Gem,False,True,Radial Velocity,1,0,,
ups_Leo,False,True,Radial Velocity,1,0,,
