host,ts_var_ratio,ts_acf_lag1,ts_acf_1hr,ts_n_in,ts_n_out,ts_status
GJ_2056,0.9600075228002795,-0.016262641488178853,-0.008504122754960668,496,15470,ok
GJ_2126,0.20493325253625078,0.3885606790686222,0.36505250970844894,70,683,ok
GJ_229,1.4281330803679233,0.008726825336985444,-0.013329787048432875,83,14386,ok
GJ_238,0.8936615477870652,0.0009860735985458434,-0.0014718548912550538,66,18007,ok
GJ_251,0.9840279637079015,0.011766179140494904,0.0038303089100893872,1738,9565,ok
GJ_27.1,0.9654914098742238,-0.012390129212604878,0.001375190532637534,142,17736,ok
GJ_273,1.0320461170704522,0.009714833607393331,-0.006395068392395216,242,15382,ok
GJ_3021,1.4749062480913009,0.09883834679590363,0.017464317833889832,82,17734,ok
GJ_3082,0.9498940585193266,0.015821079498925437,0.013295376065978406,210,17524,ok
GJ_3090,1.0966950207229396,0.038402481161448246,-0.006579686135960712,240,17195,ok
GJ_3138,1.3233867261296637,-0.001934300447984176,-0.0035274926075883426,69,12469,ok
GJ_317,1.0260874908207287,0.008619868381424938,0.0021865788865198183,320,11821,ok
GJ_3222,1.0140563653027843,-0.023613098626648076,-0.004296200954771646,166,12782,ok
GJ_328,0.892090784820046,0.02174580106931886,-0.00971433175209464,110,12517,ok
GJ_3293,0.9431287378255593,-0.014368075262483807,-0.0008229452233173579,101,16758,ok
GJ_3323,1.255074724757371,0.0550645712233859,-0.0025473888647341886,104,16810,ok
GJ_3341,1.0840964194739893,-0.05236704434265291,0.005926174423204901,49,17128,ok
GJ_3378,0.8731149761012856,-0.0013029665332485077,-0.0038675889729015947,347,15336,ok
GJ_338_B,1.4149630786163396,-0.32609659906855043,0.0028674298488391347,96,18255,ok
GJ_341,1.2695961668285543,0.002388312411320104,-0.0025266964264896307,52,15850,ok
GJ_3470,1.375971173792008,-0.0019254420313299706,0.004454242405180173,381,86445,ok
GJ_3473,1.0515657787283603,-0.030019612688333544,-0.0023555979250647146,553,14127,ok
GJ_3512,0.8546978081582406,0.05216055095533795,-0.017309204822721847,96,17240,ok
GJ_357,1.2434492121317262,0.010267454851861027,0.00265406505013385,142,12472,ok
GJ_3634,0.8891684975927853,-0.012403481925636645,-0.005381267193404392,221,14976,ok
GJ_367,0.5754737950231392,0.04347798418922682,0.0055158004051083015,62,16235,ok
GJ_3779,0.6751219685555184,-0.0036643506539755628,-0.0035088084368639543,37,13242,ok
GJ_3929,1.0567749604020398,-0.0028161051097238305,0.0016115323919008392,253,13643,ok
GJ_393,1.5982744785605167,0.011562328746677758,0.007485425537531995,325,79073,ok
GJ_3942,0.9033054257718797,0.04189695853531344,0.01842700621955364,77,14550,ok
GJ_3988,1.1223106869663813,-0.00498629553167686,-0.004962956416587026,235,15092,ok
GJ_411,0.8748641033027074,-0.028095704593707162,-0.006318707643849878,92,15548,ok
GJ_414_A,1.017364971703183,-0.12122098860865152,0.008589104993092596,101,15537,ok
GJ_422,1.018384166540944,-0.004066225737546498,0.007053829301313008,156,15090,ok
GJ_4274,1.2754492854209758,0.052921061968083924,0.01628663932023397,317,79124,ok
GJ_4276,1.3135411048789505,-0.001512663852910704,-0.007175816148409648,97,14598,ok
GJ_433,1.021198420874764,-0.0028031879711475,-0.007982499088312632,268,14370,ok
GJ_436,3.6186327002775633,0.015480668494203171,0.002011512635832643,29,15458,ok
GJ_463,0.8675280733139216,-0.0038972123751415204,0.0044654950817923904,35,15910,ok
GJ_480,1.4048937035963065,-0.0021427339716846147,0.0015804654015973006,16,12016,ok
GJ_486,1.219738082946184,0.015113571666249168,-0.006034243262128822,251,12089,ok
GJ_504,3.0978965667205247,0.12438266015300434,0.033899677127383565,72,12936,ok
GJ_508.2,1.1215283620070817,-0.015700551089888815,0.007485502823969599,100,11958,ok
GJ_514,1.374313179223363,0.021430084241501408,0.0007054696411100057,63,12968,ok
GJ_536,0.9588628788565191,-0.0022275886193763904,-0.0015022031670677987,277,66212,ok
GJ_581,1.2654930847521089,0.0029176260034574383,0.003141994799887775,82,41681,ok
GJ_625,1.0267947786275406,-0.04351282805492375,-0.006191903123208621,135,14461,ok
GJ_649,0.7462962542319399,0.015518001942431494,0.0028335517111933457,87,16918,ok
GJ_674,0.7417254739804605,0.09857475998721796,-0.003935060711707454,129,13669,ok
GJ_676_A,0.9677106383977411,0.0038873482218899106,0.006744616946806224,455,12531,ok
GJ_680,1.1998337594900197,-0.03971703009402019,0.005192253213953855,376,111593,ok
GJ_682,1.1607406600513177,-0.011197438417976057,-0.008214883722190902,193,13700,ok
GJ_685,1.2420416401793306,0.013645994573594214,0.01016134110459569,110,17999,ok
GJ_687,1.2165364995628019,0.029088087035986875,0.013627916607297714,91,18084,ok
GJ_720_A,0.9099777573723787,-0.01122358772282537,-0.0003725839883539294,259,17384,ok
GJ_724,0.9607332025066965,-0.003389395216113059,-0.0054670247346953055,157,11748,ok
GJ_740,1.118582290803653,0.013859069775822443,0.009163226242808156,218,8702,ok
GJ_806,1.2497376785578715,0.021367908874566573,-0.0021791918023173515,782,15165,ok
GJ_832,1.3078035967931925,0.005811547277127742,-0.003055477049156739,158,17636,ok
GJ_849,1.0030608973903354,-0.004992963271103015,-0.0013016584877096455,1574,51369,ok
GJ_86,1.041547228559395,-0.060954452596215056,-0.011137075311054094,291,17123,ok
GJ_876,1.7999393730463944,0.0016790551164192148,-0.0010348857311158885,62,18072,ok
GJ_887,1.0658466537669506,-0.011064432258157116,-0.0073139762872152635,349,16873,ok
GJ_896_A,25.098666358890267,0.723235038971993,0.10848948452144509,777,108928,ok
GJ_900_A,0.9591259042967053,0.1387427085665187,0.035875995954143924,392,66698,ok
GJ_9066,1.3904172537817594,0.21181420931240574,-0.0016490324425133694,104,14672,ok
GJ_9404,0.9369879689230343,-0.020288640913130047,-0.010155352048609179,95,15694,ok
GJ_96,1.4062136594999148,0.006161533767978507,-0.0008779680519856482,61,14914,ok
GJ_9689,1.1064414592824907,-0.01765540633434607,-0.002597127856687616,131,17120,ok
GJ_9714,0.9830250975732019,0.08800863554094747,0.020496493875182948,170,17466,ok
GJ_9773,0.8312354524352504,-0.003882309454962492,-0.00639138317397193,140,12736,ok
GJ_9827,0.9868679055385825,-0.006674731902695451,-0.004274433109105421,1945,59257,ok
GPX-1,1.3792300128080133,0.001314456687511606,2.2563817789048123e-05,772,16439,ok
GQ_Lup,2.9753595149856458,0.9427815170808196,0.1383748269163989,172,13194,ok
GU_Psc,0.7808381295790471,0.23277522896904831,0.018392920609389258,1201,8173,ok
G_192-15,0.9774466395748197,0.05347613050931876,-0.041008033583558055,1861,9245,ok
G_196-3,2.426491805766518,0.7925096317043315,0.007405197152329699,286,17725,ok
G_261-6,1.0757838084878255,-0.00873874111214287,-0.006035200378124103,147,17861,ok
G_264-012,1.236914379766367,-0.006745591982128289,-0.019062555837370126,90,14143,ok
G_268-110,1.0938272322671851,-0.08579417386931902,0.0029982334659401596,163,12166,ok
