host,tic_id,elapsed_s,status,sector_used,shift_pixels,verdict,error_message
Kepler-1722,360023124,32.2758572101593,failed,,,,"Depth measured at the target's own pixel in this sector (111 ppm) doesn't match the known transit depth (9345 ppm) -- this sector's data likely doesn't correspond to the same ephemeris (e.g. a different sector than where period/epoch were derived, or period aliasing). The pixel shift below would not be trustworthy, so this check was not completed with a verdict."
Kepler-1720,272839596,40.122114181518555,failed,,,,"Depth measured at the target's own pixel in this sector (-558 ppm) doesn't match the known transit depth (2524 ppm) -- this sector's data likely doesn't correspond to the same ephemeris (e.g. a different sector than where period/epoch were derived, or period aliasing). The pixel shift below would not be trustworthy, so this check was not completed with a verdict."
Kepler-1723,271040560,41.15956091880798,failed,,,,"Depth measured at the target's own pixel in this sector (-196 ppm) doesn't match the known transit depth (3221 ppm) -- this sector's data likely doesn't correspond to the same ephemeris (e.g. a different sector than where period/epoch were derived, or period aliasing). The pixel shift below would not be trustworthy, so this check was not completed with a verdict."
Kepler-1726,164721250,28.087178945541382,failed,,,,"Depth measured at the target's own pixel in this sector (-218 ppm) doesn't match the known transit depth (760 ppm) -- this sector's data likely doesn't correspond to the same ephemeris (e.g. a different sector than where period/epoch were derived, or period aliasing). The pixel shift below would not be trustworthy, so this check was not completed with a verdict."
Kepler-1717,27396246,69.63129496574402,failed,,,,"Depth measured at the target's own pixel in this sector (-742 ppm) doesn't match the known transit depth (1770 ppm) -- this sector's data likely doesn't correspond to the same ephemeris (e.g. a different sector than where period/epoch were derived, or period aliasing). The pixel shift below would not be trustworthy, so this check was not completed with a verdict."
Kepler-1728,121085785,26.380501985549927,failed,,,,"Depth measured at the target's own pixel in this sector (-468 ppm) doesn't match the known transit depth (5165 ppm) -- this sector's data likely doesn't correspond to the same ephemeris (e.g. a different sector than where period/epoch were derived, or period aliasing). The pixel shift below would not be trustworthy, so this check was not completed with a verdict."
Kepler-173,378160351,30.98250985145569,failed,,,,"Depth measured at the target's own pixel in this sector (114 ppm) doesn't match the known transit depth (3473 ppm) -- this sector's data likely doesn't correspond to the same ephemeris (e.g. a different sector than where period/epoch were derived, or period aliasing). The pixel shift below would not be trustworthy, so this check was not completed with a verdict."
Kepler-1729,272708868,32.47099494934082,completed,81.0,3.189281052595367,"Photocenter shifted 3.19 px from target -- signal likely from a nearby contaminant, not the target star",
Kepler-1732,137547023,25.279426097869873,completed,74.0,1.5336943575460984,"Photocenter shifted 1.53 px from target -- signal likely from a nearby contaminant, not the target star",
Kepler-1730,351803524,45.27399301528931,failed,,,,"Depth measured at the target's own pixel in this sector (-131 ppm) doesn't match the known transit depth (8566 ppm) -- this sector's data likely doesn't correspond to the same ephemeris (e.g. a different sector than where period/epoch were derived, or period aliasing). The pixel shift below would not be trustworthy, so this check was not completed with a verdict."
Kepler-1733,122781795,39.43264627456665,completed,74.0,1.3700986678465492,"Photocenter shifted 1.37 px from target -- signal likely from a nearby contaminant, not the target star",
Kepler-1737,272842268,22.619964122772217,failed,,,,"Depth measured at the target's own pixel in this sector (-386 ppm) doesn't match the known transit depth (7179 ppm) -- this sector's data likely doesn't correspond to the same ephemeris (e.g. a different sector than where period/epoch were derived, or period aliasing). The pixel shift below would not be trustworthy, so this check was not completed with a verdict."
Kepler-1731,137099260,47.6807541847229,completed,14.0,1.499336227235673,"Photocenter shifted 1.50 px from target -- signal likely from a nearby contaminant, not the target star",
Kepler-1727,122376998,58.70602297782898,completed,74.0,1.5407137270597806,"Photocenter shifted 1.54 px from target -- signal likely from a nearby contaminant, not the target star",
