host,oe_timing_offset_frac,oe_timing_significance,oe_n_epochs_odd,oe_n_epochs_even,oe_status
Kepler-1550,0.04026628922938468,0.4740937699232376,4,2,ok
Kepler-1552,0.0042795538933753366,0.18654877438280082,18,19,ok
Kepler-1554,0.05632770891356341,0.47995898121615077,8,6,ok
Kepler-1555,0.03654236932134782,1.1475633524696236,10,11,ok
Kepler-1556,0.06019295955269589,1.086965745876133,9,8,ok
Kepler-1558,0.046933968222119114,0.8063581315263677,6,8,ok
Kepler-1559,0.0038228711815043712,0.15115932242789074,25,25,ok
Kepler-156,0.041700237030316806,0.81800322148307,23,22,ok
Kepler-1560,0.009121392104514911,0.1354678742801449,4,5,ok
Kepler-1561,0.0165239028836407,0.28159250563318555,13,14,ok
Kepler-1562,0.06306829614970984,0.8410079045410458,3,5,ok
Kepler-1563,,,1,1,"too few epochs (odd=1, even=1)"
Kepler-1564,0.028577778130311003,0.6018598720657206,9,11,ok
Kepler-1566,0.02171056026757254,1.0727590947279462,20,22,ok
Kepler-1567,0.0029132186874127625,0.039019484229848404,15,14,ok
Kepler-1568,0.03974207583670854,0.6815337451629628,3,5,ok
Kepler-1569,0.03620040057164005,0.6120297241653431,11,12,ok
Kepler-1570,0.041206395684322626,0.9158327577384112,19,18,ok
Kepler-1571,,,1,2,"too few epochs (odd=1, even=2)"
Kepler-1572,0.08644217649154895,1.1744408896473575,14,17,ok
Kepler-1573,0.07176288141030626,1.077407498272097,5,6,ok
Kepler-1574,0.011710678668896865,0.2568869920483423,6,6,ok
Kepler-1575,0.01976101616805952,0.418270928480298,10,11,ok
Kepler-1576,0.03545394972766331,0.37813491676772626,8,8,ok
Kepler-1577,0.05903272659933914,0.8029633671617965,3,4,ok
Kepler-1578,0.09353111560479084,1.1180815040619676,4,5,ok
Kepler-1579,0.027449256009716504,0.6843048801135742,24,25,ok
Kepler-158,,,1,1,"too few epochs (odd=1, even=1)"
Kepler-1580,0.004067445679016831,0.028851840012611946,2,3,ok
Kepler-1581,0.041173426944509615,0.9973332302885856,16,16,ok
Kepler-1582,0.05768695731965561,0.6644337028463365,36,36,ok
Kepler-1583,0.04381552377135331,0.7475208940385261,8,9,ok
Kepler-1584,0.10374565387053589,1.0938288380576817,3,4,ok
Kepler-1586,0.08969434382100837,1.4239352751259602,4,6,ok
Kepler-1587,,,1,2,"too few epochs (odd=1, even=2)"
Kepler-1588,0.14724349499849332,1.7533719880670313,2,2,ok
Kepler-1589,0.04279845756795024,0.8934553000521814,6,7,ok
Kepler-159,0.047664837150013975,1.1196699008734288,21,20,ok
Kepler-1590,0.09907801178246167,2.1411111068022,2,3,ok
Kepler-1591,0.13292065983114082,1.4366633459823344,2,3,ok
Kepler-1592,,,1,2,"too few epochs (odd=1, even=2)"
Kepler-1594,0.07854867155070773,1.0375858959978588,6,5,ok
Kepler-1595,0.08140457148555559,1.2090910729968218,6,7,ok
Kepler-1596,0.0946440294629227,0.6821250437467293,9,7,ok
Kepler-1597,,,1,3,"too few epochs (odd=1, even=3)"
Kepler-1598,0.030687338459865595,0.3986832607239681,2,2,ok
Kepler-1599,0.04261627328956378,3.674638347511179,16,14,ok
Kepler-16,0.02000687183200947,0.233015311144498,2,2,ok
Kepler-160,,,1,2,"too few epochs (odd=1, even=2)"
Kepler-1600,0.07816229370176267,0.7406382400628936,12,13,ok
Kepler-1601,0.006488345310668879,0.4595559483501353,16,17,ok
Kepler-1602,0.0027580047717987977,0.03965475375227488,4,5,ok
Kepler-1603,0.05290935816916946,1.0485516487008502,12,12,ok
Kepler-1604,0.02981519214475855,0.3232026755754692,17,18,ok
Kepler-1605,0.08066328446067753,0.6632704927554688,2,2,ok
Kepler-1606,0.05728448252898043,0.7366406875757248,3,3,ok
Kepler-1607,0.07258865152464093,1.1247728106542647,4,5,ok
Kepler-1608,0.04784968872603434,0.7448603879191698,5,5,ok
Kepler-1609,0.13508589877563237,1.5209318577534008,2,3,ok
Kepler-161,0.003721471898361222,0.035468778610240254,2,3,ok
Kepler-1611,0.11017717501708285,1.507900580009536,12,16,ok
Kepler-1613,0.01619249487452134,0.22390304160323793,4,4,ok
Kepler-1614,0.08039904667380572,1.4333520177090826,15,16,ok
Kepler-1615,0.05145989180133135,0.6409608915454482,3,3,ok
Kepler-1616,0.011847915987601255,0.3986067206730411,7,7,ok
Kepler-1617,0.04915349929156993,0.6754583251752154,6,8,ok
Kepler-1618,0.014945956270949806,0.568074796318655,8,10,ok
Kepler-1619,0.018984729066783706,0.30624102232162315,6,5,ok
Kepler-162,0.032618112708029584,0.2744282502931805,8,6,ok
Kepler-1620,0.09145713882426758,0.9471032278696446,15,15,ok
Kepler-1621,0.03050472996874458,0.8287175338166121,8,7,ok
Kepler-1622,0.01804909479556,0.8365624169534632,12,13,ok
Kepler-1624,0.005980603783519638,0.11188825226359371,4,4,ok
Kepler-1626,0.030084711903936537,0.9034941982934167,4,4,ok
Kepler-1627,0.01578694343416671,0.24802671898678985,2,3,ok
Kepler-1628,0.0003829761915725137,0.00973031992815384,21,22,ok
Kepler-1629,,,1,1,"too few epochs (odd=1, even=1)"
Kepler-163,,,1,2,"too few epochs (odd=1, even=2)"
Kepler-1630,0.015302975410149407,0.39683050062182673,29,29,ok
Kepler-1632,,,1,2,"too few epochs (odd=1, even=2)"
Kepler-1633,0.12774154281870378,1.1694073645091447,3,3,ok
Kepler-1634,0.007159509665323316,0.14499268119207603,14,14,ok
Kepler-1635,0.15874907680746964,0.997827888157757,9,7,ok
Kepler-1637,0.022064519873320403,0.2949734776664528,3,4,ok
Kepler-1638,0.02903234535608578,0.41756829787641286,7,6,ok
Kepler-1639,0.046935073901981435,0.8097722945516113,6,6,ok
Kepler-164,0.04659283521481943,0.7152355220723084,13,12,ok
Kepler-1640,0.012501017444555474,0.43103240365799117,3,4,ok
Kepler-1641,0.03101467151180588,0.29523209268168055,10,12,ok
Kepler-1642,0.017210585925925344,0.3667035356259994,14,15,ok
Kepler-1644,0.002867895097093084,0.07622717287536677,16,16,ok
Kepler-1645,0.0010389878935621775,0.015046799479168647,5,6,ok
Kepler-1646,0.060984652432496865,1.1126588563704762,8,8,ok
Kepler-1647,,,1,1,"too few epochs (odd=1, even=1)"
Kepler-1649,0.034452809755091615,0.9535669311232435,14,14,ok
Kepler-165,0.02228082465148645,0.3155586252929538,3,3,ok
Kepler-1650,0.008268564401829784,0.2462120987617144,39,40,ok
Kepler-1651,0.03369267218993746,0.6588836820994206,4,5,ok
Kepler-1652,0.032977875628491235,1.0507415500737016,11,13,ok
Kepler-1654,,,1,2,"too few epochs (odd=1, even=2)"
Kepler-1655,0.08186573497791674,1.3380972855872229,8,9,ok
Kepler-1656,0.007935199852357097,0.09942738550371792,5,6,ok
Kepler-166,0.06475338952807183,1.4677367957103176,17,20,ok
Kepler-1660_A,0.14512674326581562,1.3671612369551938,5,5,ok
Kepler-1661,,,1,1,"too few epochs (odd=1, even=1)"
Kepler-1663,0.03516511944206499,0.8003530114825455,16,16,ok
Kepler-1664,0.015150834492936912,0.3451623397675441,12,14,ok
Kepler-1665,0.040134948350245454,1.9970903396321145,21,23,ok
