host,cadence_min,n_points,baseline_days
HD_114729,2.0000326720401063,15100,24.41986213404948
HD_114783,0.3333640313940123,98546,25.84127452630264
HD_11505,2.0000413528759964,16064,25.942144901761367
HD_11506,2.0000219875691982,12919,20.265456016496273
HD_115404_A,1.999999133295205,13079,24.683270590647226
HD_115954,2.000041394130676,16804,26.340819432120497
HD_116029,1.999987735052855,13421,24.629008049144886
HD_117207,1.9999642819311703,11692,22.546781224571532
HD_11755,2.000023295113351,15131,23.625242312612045
HD_117618,1.9999850690510357,11694,22.547019870859003
HD_118203,1.9999726418973296,14820,24.33300479343461
HD_11964,2.0000400923163397,12890,20.265629154019507
HD_11977,2.000015961275494,18266,27.88077493682249
HD_120084,2.00000954191637,18416,26.850112342254306
HD_121504,2.0000112199340947,11690,22.547307488415527
HD_12235,1.999957618972985,14685,25.631474297748582
HD_122562,2.000025955712772,13492,24.726670227970317
HD_124330,1.999964259994158,15700,24.503738580428035
HD_12484,1.9999596319394186,14843,25.631494107910612
HD_125136,3.3333723543182714,11656,27.84515647601711
HD_125271,2.000039008562453,18492,26.696355184583354
HD_125390,1.9999910391925368,10102,26.237367751030433
HD_125595,2.000005184800102,11683,22.54721497735045
HD_125612,0.33333720537484623,75086,24.338269883786324
HD_12648,2.000031949428376,19599,28.20049580088107
HD_126525,2.0000212788727367,11695,22.547406661697096
HD_12661,2.000031988882256,12707,23.030967661693467
HD_126614,1.9999843330151634,8136,24.580219978516197
HD_127195,3.333327092041145,10434,24.863306344489047
HD_127506,2.0000199204150704,13418,24.640476881569157
HD_128311,0.33332915809296537,52851,24.58731261019011
HD_128356,2.0000011608317436,11693,22.547145232465482
HD_128717,1.9999689548421884,15709,24.50379208048639
HD_129445,1.999976686493028,14333,24.437254843520577
HD_130322,1.9999964042654028,8135,24.580366244589186
HD_131496,1.999980980908731,7948,24.578824939342212
HD_13167,2.000024672233849,13023,20.26548292100847
HD_13189,3.333280140941497,11273,27.714837806348896
HD_132406,1.9999887063386268,15451,23.88320310163749
HD_132563,1.9999645661300747,15391,23.869029500882107
HD_133131_A,2.000023290529498,11697,22.547386273183292
HD_133131_B,2.000023958789825,11690,22.547386307642228
HD_134060,0.3333398895483697,106986,26.698587032661635
HD_134606,1.999988084899087,14338,24.437381748328335
HD_134987,2.000029324190109,11692,22.547442939505345
HD_135344_A,2.000039383456169,11664,22.547569362353897
HD_135625,2.000015204612282,18219,26.339214224998614
HD_135694,1.9999877473310335,16216,26.849836299058325
HD_136118,2.0000252373574767,6794,19.206983754571866
HD_136352,1.99995958708314,14337,24.437022618934634
HD_136418,2.000022604588594,15259,25.49204625214088
HD_136925,2.000010485207895,7946,24.579164947984737
HD_13724,1.9999874536370044,13175,20.26513131926231
HD_137388,2.0000058545338106,14347,24.437597174881375
HD_137496,2.000070174181019,12455,24.30923633249222
HD_13808,2.0000220090150833,18296,27.405841142918234
HD_13908,0.33333619561744854,112819,27.720175417083738
HD_13931,1.9999837335126358,14817,23.813667472907355
HD_139357,1.9999779778299853,15450,23.88307476981049
HD_1397,2.000007915630704,17814,27.880632492431914
HD_14067,2.0001670421333984,14126,23.85057888270694
HD_140901,0.33333854320517275,113649,27.890353852194494
HD_141004,0.33333921572193503,54860,24.58803589485933
HD_141399,2.0000229392098845,15250,25.49203863322373
HD_141937,0.33334927466057707,75060,24.33910484800208
HD_142,1.9999857998482184,18297,27.405286165700318
HD_142022_A,2.0000139014882734,14329,24.437693571890122
HD_142415,1.9999904328142293,14345,24.43739218263363
HD_143105,1.9999808738430147,17646,26.849745695632464
