hostname,tic_id,disc_year,disc_facility
TOI-2459,TIC 192790476,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-2373,TIC 332558858,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-1288,TIC 365733349,2022,Transiting Exoplanet Survey Satellite (TESS)
TOI-1246,TIC 230127302,2022,Transiting Exoplanet Survey Satellite (TESS)
TOI-5386 A,TIC 202425357,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-2449,TIC 170729775,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-907,TIC 305424003,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-4363,TIC 325682877,2026,Transiting Exoplanet Survey Satellite (TESS)
TIC 231949697,TIC 231949697,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-4458,TIC 229671380,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-1420,TIC 321857016,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-4791,TIC 100389539,2023,Transiting Exoplanet Survey Satellite (TESS)
TIC 147027702,TIC 147027702,2026,Transiting Exoplanet Survey Satellite (TESS)
NGTS-38,TIC 65910228,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-6324,TIC 372207328,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-172,TIC 29857954,2019,Transiting Exoplanet Survey Satellite (TESS)
TOI-1749,TIC 233602827,2021,Transiting Exoplanet Survey Satellite (TESS)
TIC 178172313,TIC 178172313,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-1836,TIC 207468071,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-2076,TIC 27491137,2021,Transiting Exoplanet Survey Satellite (TESS)
HAT-P-47,TIC 73448352,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-3664,TIC 348437470,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-756,TIC 73649615,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-4794,TIC 95589845,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-451,TIC 257605131,2020,Transiting Exoplanet Survey Satellite (TESS)
TOI-5205,TIC 419411415,2023,Transiting Exoplanet Survey Satellite (TESS)
