host,label,cadence_min,n_points
GJ_3222,1,2.0000357363460353,13435
GJ_328,1,1.9999716671736678,12956
GJ_3293,1,1.9999824169644853,17180
GJ_3323,1,2.0000206381155294,17220
GJ_3341,1,2.0000142806384247,17394
GJ_3378,1,2.000032017858757,16627
GJ_338_B,1,1.9999669569369871,18626
GJ_341,1,2.000021640997147,16161
GJ_3470,1,0.333366462145932,88218
GJ_3473,1,2.000007884853403,16341
GJ_3512,1,2.0000239781074924,17605
GJ_357,1,2.0000313482887577,13038
GJ_3634,1,2.0000206354961847,15854
GJ_367,1,2.0000018600330804,16483
GJ_3779,1,1.999989746218489,13432
GJ_3929,1,2.000002798085916,14644
GJ_393,1,0.33333788051095325,79965
GJ_3942,1,2.0000158987386385,15070
GJ_3988,1,2.0000121867997223,16041
GJ_411,1,1.9999656212348782,15913
GJ_414_A,1,1.9999776910117362,15939
GJ_422,1,2.000010213450878,15675
GJ_4274,1,0.33334056271996815,80376
GJ_4276,1,2.0000259223161265,14946
GJ_433,1,1.999968974487274,15464
GJ_436,1,2.0000065247586463,15914
GJ_463,1,1.9999689715405111,16112
GJ_480,1,1.9999682878915337,12174
GJ_486,1,1.9999843818004592,13144
GJ_504,1,2.0000105343206087,13408
GJ_508.2,1,1.9999723118598922,12242
GJ_514,1,2.0000199210699066,13204
GJ_536,1,0.3333412280335324,66946
GJ_581,1,0.3333385458245175,42002
GJ_625,1,1.9999667460797355,14976
GJ_649,1,1.9999974136953824,17228
GJ_674,1,2.00003602905781,14205
GJ_676_A,1,2.000034689262975,14338
GJ_680,1,0.3333378752722638,112919
GJ_682,1,2.0000407242332585,14332
GJ_685,1,1.9999811269372003,18420
GJ_687,1,1.9999968849151628,18405
GJ_720_A,1,1.9999800356526976,18284
GJ_724,1,1.9999910057958914,12413
GJ_740,1,1.9999454337812494,9629
GJ_806,1,2.0000308709131787,18320
GJ_832,1,1.9999857860966586,18263
GJ_849,1,0.33332580140267964,57754
GJ_86,1,2.0000297210208373,18299
GJ_876,1,1.9999945170275168,18294
GJ_887,1,1.99997306066507,18299
GJ_896_A,1,0.33333854386000894,112211
GJ_900_A,1,0.3333392131025903,67985
GJ_9066,1,2.0000741798139643,15257
GJ_9404,1,2.0000299940875266,16098
GJ_96,1,1.999993121244188,15151
GJ_9689,1,2.000023888394935,17645
GJ_9714,1,1.999985116199241,18154
GJ_9773,1,2.0000346385131706,13305
GJ_9827,1,0.3333372021006653,67108
GPX-1,1,2.0000118056850624,19459
GQ_Lup,1,1.9999595857734676,13868
GU_Psc,1,1.9999796859701746,12895
G_192-15,1,2.0000360418271157,16702
G_196-3,1,1.9999951086720102,18613
G_261-6,1,2.0000330115726683,18418
G_264-012,1,2.000030448216421,14510
G_268-110,1,1.9999857775837881,12777
G_9-40,1,2.0001942492672242,15275
Gaia-1,1,1.9999601610470563,14084
Gaia-2,1,1.999964921051287,15594
Gaia-4,1,2.000004498040653,13397
Gaia-5,1,2.000004721339792,18322
Gl_378,1,1.9999971213110257,18644
Gl_410,1,1.9999823855323484,15974
Gl_49,1,1.99998675230745,15108
Gl_686,1,1.9999903673306108,16912
Gl_725_A,1,1.999984377544024,13226
Gliese_12,1,0.33334725972963497,63279
HAT-P-1,1,0.33333854320517275,113167
HAT-P-11,1,2.000022951324354,18222
HAT-P-12,1,1.9999827047649887,12121
HAT-P-13,1,2.0000152131251525,16024
HAT-P-14,1,2.00002155128459,17046
HAT-P-15,1,1.999970250762999,14942
HAT-P-16,1,1.999995779387973,12403
HAT-P-17,1,2.0000071763206506,12495
HAT-P-18,1,1.9999970784192556,11396
HAT-P-19,1,0.33333385195874143,105361
HAT-P-2,1,2.0000084967978182,17655
HAT-P-20,1,2.0001948360004462,15573
HAT-P-21,1,1.9999689733413106,16439
HAT-P-22,1,2.0000044964035624,18091
HAT-P-23,1,2.000033946678741,17573
HAT-P-24,1,1.9999609439037158,15788
HAT-P-25,1,2.000185818251339,12964
HAT-P-26,1,2.000046695029596,10864
HAT-P-27,1,1.9999950625060592,7195
HAT-P-28,1,2.0000104917562567,17961
HAT-P-29,1,0.33333317616779823,111688
HAT-P-3,1,2.000005469817552,12911
HAT-P-30,1,2.000017272584955,15878
HAT-P-31,1,2.0000135026930366,16896
HAT-P-32,1,0.33333116516587324,109159
HAT-P-33,1,2.0000092249756563,15821
HAT-P-34,1,2.0000172526124516,13076
HAT-P-35,1,2.0000165994133567,16335
HAT-P-36,1,2.000002502427378,15805
HAT-P-37,1,2.000032611140341,14518
HAT-P-38,1,0.33332915416394826,99890
HAT-P-39,1,2.000196429871721,15796
HAT-P-4,1,1.9999907281453488,14454
HAT-P-40,1,0.3333361969271209,99590
HAT-P-41,1,1.999988349780324,8604
HAT-P-42,1,1.9999716668462497,12895
HAT-P-43,1,2.000031353200029,16340
HAT-P-44,1,1.9999837119030417,15090
HAT-P-45,1,1.9999729002302047,11706
HAT-P-46,1,0.333326470645261,69593
HAT-P-49,1,2.0000151142448885,17907
HAT-P-5,1,2.0000195389729924,16680
HAT-P-50,1,1.999993131721567,16292
HAT-P-51,1,2.000029939081287,17978
HAT-P-52,1,2.000178272573976,14129
HAT-P-53,1,1.999962877962389,12626
