host,trap_vshape,trap_t14_ratio,trap_vshape_err,trap_depth,trap_depth_snr,trap_rmse,trap_nbins,trap_status
Kepler-1285,0.4846794494503367,0.9866243367760041,2.0959191710907343,0.0005347605285599846,1.3097593616445133,0.00097872882058733,60,ok
Kepler-1286,0.28919310447364266,0.5972939883939151,0.3735703506277427,0.0067053199065990445,2.031720880756538,0.006671748603545295,60,ok
Kepler-1287,0.38324242562739036,1.1407212395250925,0.4867382812614322,0.009541430929018959,2.267321222128032,0.010479307741448505,60,ok
Kepler-1288,0.2266613949399721,2.496586058663124,0.2945084723817809,0.001973270716865151,3.9883501556675185,0.0017437239320002827,60,T14 hit bound
Kepler-1289,0.24811461835217943,1.0686047287388818,1.0821034972384689,0.004809485231348545,1.3595349974994972,0.00980942094595341,60,ok
Kepler-129,0.3781142048022822,1.0900070869677427,1.366428895628317,0.00012009135524537363,0.7311165773290322,0.0004087107287332374,60,ok
Kepler-1290,0.15124538034965285,0.600525481265491,0.0,0.027536824540592735,1.8643062651017677,0.034825261100010434,60,ok
Kepler-1291,0.9695750392399571,0.718761997351282,2012066.4923175715,0.012798404358092094,4.818801335470049e-07,0.019767253826328754,60,ok
Kepler-1292,0.2842526251114998,1.0798367880339328,2.03437727419157,0.01408729706696975,1.193849169684705,0.033516697015085105,60,ok
Kepler-1293,0.9961822936647875,1.0939653858250025,143440.36787561714,0.003899159849257673,6.944921179716281e-06,0.0020383368692251298,60,ok
Kepler-1294,0.4067663164466899,2.256017645062234,0.11353265553147848,0.07487746999874442,10.379662353789254,0.022449032593148687,60,ok
Kepler-1296,0.9002284157619136,0.37742937630026036,2492990.4538900796,0.007279459138148422,3.611038561387837e-07,0.005298944183989528,60,ok
Kepler-1297,0.784285633796635,0.6886304748066137,1.3361930194096334,0.009681045635090934,0.9092795627548176,0.013893830020258601,52,ok
Kepler-1298,0.7792576593378678,0.6976064581790382,2.7152938250366607,0.00019881211345141748,0.44554356247348925,0.000586951197627042,60,ok
