host,label,ra,dec,gaia_ruwe,gaia_nss,gaia_gmag,gaia_sep_arcsec,gaia_source,gaia_nss_flag,gaia_ruwe_high
Kepler-651,1.0,287.3327284,46.2034366,0.971,0.0,13.949829,0.6599999999999999,2.1303229558503854e+18,0.0,0.0
Kepler-652,1.0,288.0080899,46.4736108,0.967,0.0,13.423318,0.6,2.130397585201614e+18,0.0,0.0
Kepler-653,1.0,282.2130447,46.7177898,0.966,0.0,13.334174,0.48,2.1195110800548475e+18,0.0,0.0
Kepler-654,1.0,297.0683931,46.8342497,0.948,0.0,13.650322,0.42,2.0803534165474483e+18,0.0,0.0
Kepler-655,1.0,297.2590664,46.843165,1.047,0.0,13.452205,0.42,2.08035561557022e+18,0.0,0.0
Kepler-656,1.0,288.3278778,47.381538,1.017,0.0,15.324007,0.12,2.1308250203471685e+18,0.0,0.0
Kepler-657,1.0,291.1973006,47.3077545,0.997,0.0,15.307049,0.18,2.1291584355982108e+18,0.0,0.0
Kepler-658,1.0,282.983621,47.5783897,1.133,0.0,15.477398,1.5599999999999998,2.1076445277955448e+18,0.0,0.0
Kepler-659,1.0,287.6081777,47.5096893,1.007,0.0,15.552404,0.12,2.1308669048684242e+18,0.0,0.0
Kepler-660,1.0,288.1382985,47.7245642,1.033,0.0,15.250685,0.6,2.1308820231535332e+18,0.0,0.0
Kepler-661,1.0,283.7107463,47.8631748,0.983,0.0,15.785789,0.84,2.1316351542567534e+18,0.0,0.0
Kepler-662,1.0,290.4650801,47.9291252,1.421,0.0,15.364881,0.42,2.1293989881260728e+18,0.0,1.0
Kepler-663,1.0,297.8082232,47.9466342,0.956,0.0,15.853996,0.18,2.0865072800486876e+18,0.0,0.0
Kepler-664,1.0,288.7549029,48.226203,0.976,0.0,15.485445,0.12,2.1309692625291653e+18,0.0,0.0
Kepler-665,1.0,297.0255947,48.4785669,1.026,0.0,15.388906,0.12,2.0867341573985833e+18,0.0,0.0
Kepler-666,1.0,298.4568899,48.7915925,0.964,0.0,15.327738,0.18,2.086935024430953e+18,0.0,0.0
Kepler-667,1.0,295.5549918,49.0172956,0.97,0.0,15.347815,0.24,2.134766460297292e+18,0.0,0.0
Kepler-668,1.0,285.4992845,49.2772713,0.982,0.0,15.279193,0.42,2.1320078886991667e+18,0.0,0.0
Kepler-669,1.0,291.9361615,49.2539473,1.029,0.0,15.468886,0.24,2.1297536106868183e+18,0.0,0.0
Kepler-670,1.0,297.0154644,49.2252988,0.992,0.0,15.013418,0.12,2.0868305021058504e+18,0.0,0.0
Kepler-671,1.0,294.2657519,49.3140933,1.101,0.0,15.345541,0.24,2.1350083872133315e+18,0.0,0.0
Kepler-672,1.0,291.7219993,49.4808492,1.033,0.0,15.118699,0.06,2.1297766360108524e+18,0.0,0.0
Kepler-673,1.0,290.7857595,50.0540561,1.013,0.0,15.493571,0.3,2.1300404500815734e+18,0.0,0.0
Kepler-674,1.0,285.1761864,50.1496897,1.065,0.0,15.111789,0.72,2.1321617859675776e+18,0.0,0.0
Kepler-675,1.0,293.8334488,50.2303479,0.983,0.0,15.320448,0.48,2.135124213891991e+18,0.0,0.0
Kepler-676,1.0,296.2220259,50.2873626,1.022,0.0,15.857924,1.02,2.1353014414224635e+18,0.0,0.0
Kepler-677,1.0,290.0980478,50.3215731,1.065,0.0,15.287061,0.36,2.133056376115838e+18,0.0,0.0
Kepler-678,1.0,295.4552577,50.4945093,1.016,0.0,15.049543,0.3,2.135550652604184e+18,0.0,0.0
Kepler-679,1.0,296.0213374,50.5678019,1.07,0.0,15.516325,0.18,2.1353561421259825e+18,0.0,0.0
Kepler-68,1.0,291.0323102,49.0402129,0.92,0.0,9.938094,0.36,2.1295504458529027e+18,0.0,0.0
Kepler-680,1.0,291.622381,50.6181793,0.99,0.0,15.203923,0.36,2.130124528361198e+18,0.0,0.0
Kepler-681,1.0,289.3997364,51.2502428,1.037,0.0,15.214441,0.6,2.1332490998881828e+18,0.0,0.0
Kepler-682,1.0,289.1122204,51.7373589,1.005,0.0,15.10401,0.3,2.133476080319167e+18,0.0,0.0
Kepler-683,1.0,291.4399598,37.9056293,1.015,0.0,14.988545,0.3,2.0525594805825956e+18,0.0,0.0
Kepler-684,1.0,290.8704935,38.2735978,0.985,0.0,15.566834,0.18,2.052643696302707e+18,0.0,0.0
Kepler-685,1.0,293.8719143,38.4229184,0.982,0.0,15.006248,0.18,2.0520860721136433e+18,0.0,0.0
Kepler-686,1.0,285.213819,39.027466,1.045,0.0,15.514114,0.12,2.1002479455756462e+18,0.0,0.0
Kepler-687,1.0,289.3154576,39.1532911,1.019,0.0,15.378299,0.18,2.1010008361654295e+18,0.0,0.0
Kepler-688,1.0,294.6552312,39.3083446,0.947,0.0,15.719662,0.06,2.052232410241029e+18,0.0,0.0
Kepler-69,1.0,293.2609013,44.8688656,0.981,0.0,13.699361,0.36,2.126436800722944e+18,0.0,0.0
Kepler-691,1.0,288.8117314,40.0332311,1.042,0.0,15.816794,1.74,2.1012429348811643e+18,0.0,0.0
Kepler-693,1.0,283.253527,40.3582155,0.991,0.0,16.402374,0.18,2.1035727312990935e+18,0.0,0.0
Kepler-694,1.0,291.1495269,40.4204569,1.005,0.0,15.078138,0.3,2.1014956851179203e+18,0.0,0.0
Kepler-695,1.0,299.3160934,40.8223815,0.957,0.0,15.098711,0.12,2.0751070624696704e+18,0.0,0.0
Kepler-696,1.0,293.4965906,41.1375635,0.978,0.0,15.226674,0.24,2.0773836700019558e+18,0.0,0.0
Kepler-697,1.0,283.8643937,41.3463859,0.985,0.0,15.533364,0.3,2.103728312194386e+18,0.0,0.0
Kepler-698,1.0,288.5099994,41.3017465,0.976,0.0,15.420596,0.12,2.1021702355008054e+18,0.0,0.0
Kepler-7,1.0,288.5814928,41.0897335,1.008,0.0,12.854568,0.6599999999999999,2.1021178712590367e+18,0.0,0.0
Kepler-700,1.0,287.154224,41.5657775,0.96,0.0,15.17804,0.24,2.1024115783017198e+18,0.0,0.0
Kepler-701,1.0,288.99418,41.6333125,0.954,0.0,14.956581,0.18,2.1022288875739418e+18,0.0,0.0
Kepler-702,1.0,293.8781041,41.6617245,1.036,0.0,15.30008,0.24,2.0774242101927813e+18,0.0,0.0
Kepler-703,1.0,299.1868586,41.742699,0.907,0.0,15.239934,0.06,2.0753584726692564e+18,0.0,0.0
Kepler-704,1.0,283.3163671,41.8370942,0.963,0.0,15.236798,0.24,2.104530027969875e+18,0.0,0.0
