host,label,st_logg,st_rho,rho_circ,rho_ratio
Kepler-925,1.0,4.50027,1.49236,17.874497453877346,1.0783602402932029
Kepler-926,1.0,4.26208,0.539157,5.844421473419187,1.0350262796306855
Kepler-927,1.0,4.44824,1.04628,25.189453121744226,1.3815708150935515
Kepler-928,1.0,4.63558,2.31059,11.069910242582447,0.6804212101040964
Kepler-93,1.0,4.50815,1.27385,153.27870752795587,2.0803635382895656
Kepler-930,1.0,4.11652,0.319908,52.61139836768154,2.2160547444362293
Kepler-931,1.0,,,385.04141059637095,
Kepler-932,1.0,4.53924,1.50338,42.58624697755605,1.4522006000687269
Kepler-933,1.0,4.45546,1.11317,110.8328057551247,1.9981068340708745
Kepler-934,1.0,4.51456,1.46532,1208.0850079868248,2.9161650175920073
Kepler-935,1.0,4.63843,2.27368,23.666919156826452,1.0174123856757713
Kepler-938,1.0,,,291.240446688186,
Kepler-94,1.0,4.57812,1.86684,377.2825586702825,2.305559630981996
Kepler-942,1.0,4.55148,1.7016,45.13147029011755,1.423622005273459
Kepler-943,1.0,3.96817,0.198309,12.117880616159187,1.7860842450153405
Kepler-946,1.0,4.35217,0.721946,18.198202450057995,1.4015237776331737
Kepler-948,1.0,4.44625,1.04989,8.256628264437033,0.8956589327635476
Kepler-949,1.0,4.5916,1.84004,48.02184331490017,1.4166115623111897
Kepler-95,1.0,4.11437,0.326927,5.226444050135876,1.2037555163234757
Kepler-950,1.0,4.10169,0.306847,17.267218843606162,1.750300511658253
Kepler-951,1.0,4.59282,1.9732,32.73824657751726,1.2198843086003912
Kepler-952,1.0,4.30028,0.621322,91.96373523385681,2.1702998708788432
Kepler-953,1.0,,,48.02024844422294,
Kepler-954,1.0,4.65464,2.34036,50.812589278620294,1.336688659195151
Kepler-955,1.0,4.61356,1.94878,11.550360935989122,0.7728327417771251
Kepler-956,1.0,4.46381,1.05171,7.250766021857878,0.8384878875630974
Kepler-957,1.0,4.49061,1.35758,133.20321558391336,1.991749277731276
Kepler-958,1.0,4.60918,1.84303,85.95493389474458,1.6687384061301187
Kepler-959,1.0,4.16799,0.323413,3.3212922186407394,1.0115496150477568
Kepler-96,1.0,4.49186,1.18883,4.096588654450276,0.5373026019522203
Kepler-960,1.0,4.48836,1.41293,1527.7134408495424,3.0339212532010067
Kepler-961,1.0,4.55588,1.51741,178.42322003111036,2.0703484310681044
Kepler-962,1.0,4.57524,1.64779,3.999412191686561,0.3850943032497208
Kepler-963,1.0,4.49994,1.28401,19.754952194308597,1.1871075769790724
Kepler-964,1.0,4.58677,1.73304,4786.180280218797,3.4411804663738037
Kepler-965,1.0,4.41308,0.866791,48.25451888932123,1.7456235966081737
Kepler-966,1.0,4.14761,0.368556,1.348859215711473,0.5634631376824588
Kepler-967,1.0,,,45.121070781637094,
Kepler-968,1.0,4.58829,2.01385,249.57637257062737,2.0931763488918187
Kepler-969,1.0,4.60033,1.85654,998.5943588042337,2.730684797601819
Kepler-97,1.0,4.50555,1.23204,25.2357932600233,1.3113921527945822
Kepler-970,1.0,4.57488,1.95673,47.00699374663702,1.3806315739695112
Kepler-971,1.0,4.64403,2.06807,318.18136827924775,2.187109510444808
Kepler-972,1.0,4.33988,0.682347,46.73342258039266,1.8356223018111368
Kepler-973,1.0,4.54761,1.55268,9.076400799627526,0.7668317064864495
Kepler-974,1.0,4.70435,3.43191,28.06901311011607,0.9126912531799606
Kepler-975,1.0,4.51015,1.46179,34.77022674818409,1.3763225362900158
Kepler-976,1.0,4.44821,1.14369,4084.637869958552,3.5528452356942246
Kepler-977,1.0,4.67115,2.38442,34.10982061549567,1.155496679505491
Kepler-978,1.0,,,44.534666617897265,
Kepler-979,1.0,4.51637,1.39704,46.46265625948831,1.5218951936942078
Kepler-98,1.0,4.47432,1.15316,424.84055557670746,2.5663363986304337
Kepler-980,1.0,4.19914,0.429632,23.666358200358395,1.7410348122916512
Kepler-981,1.0,4.47712,1.1444,44.32926090395556,1.5881126412906401
Kepler-982,1.0,4.25439,0.459785,94.87028790281686,2.3145754197703368
Kepler-983,1.0,,,85.90873496988432,
Kepler-984,1.0,4.48816,1.19548,48.601116166908575,1.6091039284232962
Kepler-985,1.0,4.59922,1.79003,100.76778106852099,1.7504613857972722
Kepler-986,1.0,4.39284,0.868514,3.9524809214607615,0.6580929588355799
Kepler-987,1.0,4.56313,1.53261,118.19477546866533,1.8871666250473043
Kepler-988,1.0,4.62124,2.39785,57.92424154807584,1.3830383440383283
Kepler-989,1.0,4.51749,1.45289,42.93124522310991,1.4705407507973993
Kepler-99,1.0,4.57967,1.85966,35.86247246436411,1.2852066779998206
Kepler-990,1.0,4.39781,0.883531,120.96268732817589,2.136429634648002
Kepler-991,1.0,4.63632,2.38931,11.853370837190983,0.6955693709241715
Kepler-992,1.0,4.56358,1.75913,8.473175582187643,0.6827482709258933
Kepler-993,1.0,4.66812,2.92787,13.165310017996436,0.6528793006131268
Kepler-994,1.0,4.6539,2.75417,1.803421721079395,-0.1838934472207091
Kepler-995,1.0,4.61441,1.96008,46.584460366199046,1.3759672716921836
Kepler-996,1.0,4.23427,0.482735,689.0464753960647,3.1545397277104135
Kepler-997,1.0,4.12981,0.317451,105.01300706933228,2.51956639529042
Kepler-998,1.0,4.28134,0.567963,55.966402371841596,1.9936073460380652
Kepler-999,1.0,4.05857,0.251422,146.31062182377553,2.7648725793044315
LHS_1140,1.0,,,17.274263764858592,
LHS_1478,1.0,,,48.11743850276993,
LHS_1678,1.0,,,37.26523047858174,
LHS_1815,1.0,,,17.233699153200522,
LHS_1903,1.0,,,14.959036514891073,
LHS_3154,1.0,,,283.1516732676888,
LHS_3844,1.0,,,32.036368517294115,
LHS_475,1.0,4.73475,2.82902,73.3893985401435,1.4139973107212944
LP_261-75_A,1.0,4.91873,9.87196,76.14135106345326,0.8872171917490861
LP_714-47,1.0,4.64467,2.64775,18.898205729948646,0.8535435957932176
LP_791-18,1.0,5.12123,28.1241,39.678367208104824,0.14947515886182808
LP_890-9,1.0,5.15917,33.8359,176.4648495511397,0.7172804774403252
LSPM_J21160234,1.0,4.79896,5.3325,57.41528581350409,1.0320966669643077
LTT_1445_A,1.0,,,33.01178165152609,
LTT_3780,1.0,4.85074,6.91253,8.779270737745657,0.10382141300211785
LTT_9779,1.0,,,7.857328146188245,
L_168-9,1.0,4.65374,2.75228,8.468826546662742,0.4881306237488095
L_363-38,1.0,,,15660.151560683255,
L_98-59,1.0,4.91039,9.44434,22.329605996455122,0.3737094465962979
LkCa_15,1.0,,,10.852775794425053,
Luhman_16_A,1.0,,,,
Lupus-TR-3,1.0,4.9617,7.9438,509.55402970415173,1.8071619390183102
MASCARA-1,1.0,4.105,0.230419,151.70309104218654,2.8184761423998608
MASCARA-4,1.0,4.2113,0.3231,65.18580779290689,2.3048160937243245
MOA-2007-BLG-192L,1.0,,,,
MOA-2007-BLG-400L,1.0,,,,
MOA-2008-BLG-310L,1.0,,,,
MOA-2008-BLG-379L,1.0,,,,
MOA-2009-BLG-319L,1.0,,,,
MOA-2009-BLG-387L,1.0,,,,
MOA-2010-BLG-117L,1.0,,,,
MOA-2010-BLG-328L,1.0,,,,
MOA-2010-BLG-353L,1.0,,,37.67226443329375,
MOA-2010-BLG-477L,1.0,,,,
MOA-2011-BLG-028L,1.0,,,,
MOA-2011-BLG-262L,1.0,,,,
MOA-2011-BLG-291L,1.0,,,,
MOA-2011-BLG-322L,1.0,,,,
MOA-2012-BLG-006L,1.0,,,,
MOA-2012-BLG-505L,1.0,,,,
MOA-2013-BLG-605L,1.0,,,,
MOA-2015-BLG-337L,1.0,,,,
MOA-2016-BLG-227L,1.0,,,,
MOA-2016-BLG-319L,1.0,,,,
MOA-2019-BLG-008L,1.0,,,,
MOA-2020-BLG-135L,1.0,,,,
MOA-bin-1L,1.0,,,,
MOA-bin-29,1.0,,,25.038595437877728,
MWC_758,1.0,4.04855,0.202452,96.77240837598883,2.679429478005294
MXB_1658-298,1.0,,,,
NGC_2682_Sand_1429,1.0,3.80454,0.106909,59.97552813748254,2.748959813719385
NGC_2682_Sand_978,1.0,,,63.08399662881523,
NGC_2682_YBP_1194,1.0,4.44869,1.01721,109.65155866127681,2.0326041884204167
NGC_2682_YBP_1514,1.0,4.37162,0.798926,49.14582880473107,1.7889801085578825
NGC_2682_YBP_401,1.0,4.30917,0.594868,36.57325615326018,1.7887430203714418
NGTS-1,1.0,4.67857,3.06379,34.290748854561066,1.0489179751819084
NGTS-10,1.0,,,68.14768240672164,
NGTS-11,1.0,4.53021,1.49111,64.74382304594351,1.6376886576214869
NGTS-12,1.0,4.09453,0.29651,1.0424613622142318,0.546020622432334
NGTS-13,1.0,3.95567,0.183547,0.26179163493384927,0.15420847482789585
NGTS-14_A,1.0,4.52254,1.41909,3.154424761016969,0.34691023343407196
NGTS-15,1.0,4.47742,1.14558,104.28607878484092,1.959200915107503
NGTS-17,1.0,4.20277,0.437152,100.20168854116581,2.3602425704178445
NGTS-18,1.0,4.16246,0.382203,0.605234075746445,0.1996292799746867
NGTS-2,1.0,4.10041,0.269134,31.866161343775136,2.0733611845764153
NGTS-20,1.0,3.99481,0.198308,48.654855122398416,2.389785949156353
NGTS-21,1.0,4.47034,1.29957,2.679697868742404,0.3142861535519872
NGTS-23,1.0,4.30517,0.569772,64.44248121662956,2.0534711505002496
NGTS-24,1.0,4.06963,0.270802,1.6226681344202734,0.7775778401776152
NGTS-26,1.0,4.24392,0.513989,43.848953092366955,1.9310054042516933
NGTS-27,1.0,3.91756,0.163237,0.6099145372776669,0.5724503802352149
NGTS-30,1.0,4.49455,1.24961,27.602108084800747,1.3441677601733324
NGTS-31,1.0,,,8.773801032078197,
NGTS-33,1.0,4.33052,0.529001,8.47007697697605,1.20443086425692
NGTS-34,1.0,4.25703,0.480537,1.7031824483520608,0.5495343402108033
NGTS-35,1.0,4.55866,1.74432,45.95366160678113,1.4206939615173726
NGTS-3_A,1.0,4.44807,1.06205,53.84128253514628,1.7049704332487974
NGTS-4,1.0,4.50281,1.34931,0.8996953223045941,-0.1760162765126719
NGTS-5,1.0,4.61102,1.99475,176.08130335239073,1.9458247704563283
NGTS-6,1.0,4.5199,1.54217,22.147487267325264,1.157192210185845
NGTS-8,1.0,4.37898,0.874188,2.918708777135741,0.5235859235002358
NGTS-9,1.0,4.23958,0.458009,13.09047332856782,1.4560813380707467
NN_Ser,1.0,,,273.05784343094274,
NSVS_14256825,1.0,5.49946,57.0222,1054.4915248947257,1.2669991245862362
NY_Vir,1.0,5.74193,133.316,141.83510945648058,0.026901473510632143
OGLE-2003-BLG-235L,1.0,,,,
OGLE-2005-BLG-071L,1.0,,,,
