host,recon_err,var_oot_rms
Kepler-783,2.9479072964022635e-05,0.0136234822557922
Kepler-784,9.578178776337154e-06,0.0061252871502951
Kepler-785,0.0005716065206797794,0.0887088890428306
Kepler-786,5.859958173459745e-05,0.0226053800117815
Kepler-787,0.00012529186551546445,0.0476269091154065
Kepler-788,0.00010665601166692795,0.0277131990919604
Kepler-789,0.0001685131010162877,0.0304725412809391
Kepler-79,3.479153338048491e-05,0.0117308474020107
Kepler-790,0.00011953013472520979,0.0353273296259759
Kepler-791,7.021456258371472e-05,0.0225946586421877
Kepler-792,0.00011707847170328023,0.0266345097006137
Kepler-793,5.364502203519805e-05,0.0269829493681477
Kepler-794,1.7856967929219536e-05,0.0066224159510454
Kepler-795,1.2557054674289247e-05,0.006311888582608
Kepler-796,8.604623928931687e-06,0.0040782724098043
Kepler-797,5.153916663402924e-05,0.0230640740148384
Kepler-798,1.86643117103813e-05,0.0131769610645386
Kepler-799,0.00024412804850726388,0.027111188396229
Kepler-8,1.244409645551059e-05,0.0074353596181108
Kepler-80,0.00011596400963753695,0.0238755146737769
Kepler-800,0.00021244094932626467,0.03513380299764
Kepler-801,4.4607988002098864e-05,0.0195096090826472
Kepler-802,0.00022555297073267866,0.0163499289822872
Kepler-803,1.945002031789045e-05,0.0090441691013169
Kepler-804,1.8523474864196032e-05,0.0096596251609537
Kepler-805,9.024873406815459e-06,0.0040868438350097
Kepler-806,7.694029733329444e-06,0.0019589444088824
Kepler-808,3.194492546754191e-05,0.011298085340975
Kepler-809,0.0002682261765585281,0.0191410620250925
Kepler-81,2.662240126483084e-05,0.0229024391720882
Kepler-811,1.4494516562990611e-05,0.0092154911126696
Kepler-812,1.0218828663255408e-05,0.0079315130655963
Kepler-813,4.599559906637296e-05,0.0126248651830424
Kepler-814,0.00014613461644330528,0.0164139649920595
Kepler-815,1.7449102074351686e-05,0.0049562638451525
Kepler-817,0.0003928626319975592,0.0659113915747612
Kepler-818,0.000415486309066182,0.0473120927372041
Kepler-819,0.0007108448480721563,0.061223310748083
Kepler-82,0.0001230621292052092,0.033228867351179
Kepler-821,6.833607676526299e-05,0.0232042858544431
Kepler-823,4.223036557959858e-05,0.0157953789963257
Kepler-826,8.070564774698141e-06,0.0060690422952538
Kepler-828,0.00016623843293928076,0.0271391496386098
Kepler-829,3.148404744024447e-05,0.0176205518448105
Kepler-83,0.00010094210574607132,0.033866256593649
Kepler-830,3.8152551042003324e-05,0.0201885557607669
Kepler-831,2.9486866878869478e-05,0.0114248560442901
Kepler-833,0.0004175151880190242,0.035707257812121
Kepler-834,0.00046854550964781083,0.0451280478052695
Kepler-835,0.0005516797682503238,0.0492028478251841
Kepler-836,4.4424486986827105e-05,0.0176435752153232
Kepler-837,0.00042428596498211846,0.0271114387860367
Kepler-838,0.000209122481464874,0.0289274045929204
Kepler-839,1.328210214524006e-05,0.0082537957149292
Kepler-84,0.0003834856761386618,0.0345325449215931
Kepler-841,0.00033745437758625485,0.0401053585343446
Kepler-842,9.20760339795379e-05,0.0200572027732545
Kepler-843,4.796580287802499e-05,0.0312649103373459
Kepler-844,0.00015395992704725359,0.035559932901305
Kepler-845,3.938205190934241e-05,0.0152411485366872
Kepler-846,0.0016158120124600828,0.0470508809548143
Kepler-847,2.3740532242300105e-05,0.0161684668496899
Kepler-848,4.76909231110767e-05,0.0102376774626774
Kepler-849,1.201522098881469e-05,0.0046196859737743
Kepler-85,3.615684136093478e-05,0.0209888913469305
Kepler-850,0.00010921023385890294,0.0342209902662093
Kepler-851,3.0774667948207934e-05,0.0228430575914775
Kepler-852,2.9812428238074062e-05,0.0103611647928088
Kepler-853,8.186970347878741e-06,0.0029669212851795
Kepler-855,0.0001652662376727676,0.0255594105989558
Kepler-856,8.641964086564258e-05,0.0353706380099541
Kepler-857,6.522235162265133e-05,0.0252517195819067
Kepler-858,7.348722988353984e-06,0.0067535495901458
Kepler-859,0.0005032460867369082,0.0621938924065411
Kepler-860,0.00021346378161979374,0.0360231452325048
Kepler-862,0.00011831666870421031,0.0587871321154186
Kepler-863,0.00032477419517817907,0.0382210220454791
Kepler-864,0.00026580535268294625,0.135078855753455
Kepler-865,2.4894922944440623e-05,0.0237712408707684
Kepler-866,0.0004964452054991852,0.0535418114987805
Kepler-867,4.182819566267426e-05,0.0214617589029698
Kepler-868,0.00040743111458141357,0.0366286679176572
Kepler-869,0.00019100543795502745,0.025175865615564
Kepler-87,3.323746045680309e-05,0.0179226838696134
Kepler-870,0.00013065584971627686,0.0186287705113431
Kepler-872,3.6788479519600514e-05,0.0299659086188071
Kepler-873,6.060276564312517e-05,0.0244079253201094
Kepler-874,7.051058219076367e-05,0.0208958510172257
Kepler-875,0.0004791449500771705,0.0479464443826541
Kepler-876,0.00010686845143936807,0.0294301833379824
Kepler-877,4.7085899495868944e-05,0.01688008989763
Kepler-878,5.733661691920133e-05,0.0179391775522125
Kepler-879,0.00020765362023666967,0.0172181048358969
Kepler-880,8.477843664422835e-06,0.0028140569668417
Kepler-881,0.0002744238263403531,0.0366164544424017
Kepler-882,1.968794299500587e-05,0.0118606190592363
Kepler-883,8.785250258824817e-06,0.0050496122674249
Kepler-884,2.881004752453009e-05,0.0090778911053765
Kepler-885,1.6250809721896076e-05,0.00558675499749
Kepler-886,2.289663780175033e-05,0.0090401193351911
Kepler-887,1.166394395113457e-05,0.006872126688986
Kepler-888,2.07024988867488e-05,0.0053572488997999
Kepler-889,7.611637045101816e-06,0.004391734499328
Kepler-890,0.00048159189464058727,0.0417853430375515
Kepler-891,9.63449347182177e-05,0.03224519982425
Kepler-892,0.00019331235307618044,0.0383928457509771
Kepler-893,0.0003250091140216682,0.0381640514622644
Kepler-894,0.0005850699817528948,0.0581351077968325
Kepler-895,0.001141307075158693,0.0556956800068203
Kepler-896,0.00014841735537629575,0.0350764175956246
Kepler-897,8.435460586042609e-05,0.0227346948176885
Kepler-898,0.0026808230322785676,0.0487415052994263
Kepler-9,3.765596829907736e-05,0.0340887331065517
Kepler-900,5.25857717548206e-05,0.0217370733358401
Kepler-901,3.450735357546364e-05,0.0133550165651042
Kepler-902,0.00021228072182566393,0.0210751154213153
Kepler-903,3.0363546102307737e-05,0.016368207793665
Kepler-904,2.1980303017699043e-05,0.014814915294873
Kepler-905,2.5110544129347545e-05,0.0116548528902366
Kepler-906,2.563868838478811e-05,0.0107607481707743
Kepler-907,6.139456900200457e-06,0.001820442039937
Kepler-908,8.986518423625967e-06,0.0026402040567955
Kepler-909,5.5852938771749905e-06,0.0020044848391435
Kepler-91,7.98844018845557e-06,0.0030436569364281
Kepler-910,6.798306571909052e-06,0.0030363837583843
Kepler-911,5.7881254633684875e-06,0.0026732722478487
Kepler-912,0.00036725059544551186,0.0595534509547762
Kepler-914,1.9199713506168337e-05,0.0068391928822704
Kepler-915,1.6467331079184078e-05,0.0061420938883003
Kepler-916,0.00010419318277854472,0.0367934053055278
Kepler-917,0.0001559781449032016,0.0523652123957385
Kepler-918,6.27233530394733e-05,0.0265613505575686
Kepler-919,0.00016669725846440997,0.0241900994989764
Kepler-92,6.096524657550617e-06,0.0022370913755976
Kepler-920,5.4919464673730545e-05,0.028098586653456
Kepler-921,0.00010067773200717056,0.0174654831510096
Kepler-922,1.1454431387392106e-05,0.007825338691086
Kepler-923,2.7681521032718592e-05,0.0152998733592342
Kepler-925,0.0003347278070577886,0.066290331390182
Kepler-926,1.615408973520971e-05,0.0124242772631901
Kepler-927,3.323441615066258e-05,0.019055121860735
Kepler-928,0.0001299259829465882,0.0344503698314622
Kepler-93,7.738873989637796e-06,0.0007961258218685
Kepler-930,2.2847467562314705e-05,0.0123236586774225
Kepler-931,6.474116071331082e-05,0.0176406649220577
Kepler-932,1.6547304198866186e-05,0.013699035301004
Kepler-933,0.0006255426706047729,0.0496302126639215
Kepler-934,0.00040750604239292443,0.036438664699471
Kepler-935,0.00010736192143667722,0.0196516066286492
Kepler-938,0.00021933179777988698,0.0262004058795189
Kepler-94,6.998914784617227e-06,0.0036004015005985
Kepler-942,6.406350109955383e-06,0.0041020765909066
Kepler-943,0.00020785680681001395,0.0385698884982837
Kepler-946,0.00014512443885905668,0.0527527088507755
Kepler-948,4.102427283214638e-05,0.0270247329562708
Kepler-949,4.849620427194168e-05,0.0152766867985429
Kepler-95,5.8058402601091075e-06,0.0028920909930719
Kepler-950,0.0004029257397633046,0.0615081376916568
Kepler-951,3.713438491104171e-05,0.0194764815339399
Kepler-952,0.00018150275172956754,0.0290850985182661
Kepler-953,8.765109726027731e-06,0.0067745599311644
Kepler-954,1.1623024931850523e-05,0.0077319935437258
Kepler-955,1.5212707808132109e-05,0.0155504774638633
Kepler-956,1.0093280025103013e-05,0.0068455712203439
Kepler-957,0.00039460830521420576,0.0448439962070909
Kepler-958,1.181239804282086e-05,0.008650273584421
Kepler-959,8.838507824293629e-06,0.0040530379819848
Kepler-96,5.660272904606245e-06,0.0014440872718455
Kepler-960,1.442750306068774e-05,0.0082851748932038
Kepler-961,1.6082441220532928e-05,0.0098802947510359
Kepler-962,1.1726465913852735e-05,0.0086005222826162
Kepler-963,4.1651775518403156e-05,0.0247242450654854
Kepler-964,2.00546319319983e-05,0.0123366470177077
Kepler-965,9.248776450476726e-06,0.0089031190581855
Kepler-966,1.6288013284793124e-05,0.0152796904684493
Kepler-967,3.735550490091555e-05,0.0152629676767687
Kepler-968,2.572628545749467e-05,0.0101824167233438
Kepler-969,1.3299475540407002e-05,0.0068809676333745
Kepler-97,6.785525158647943e-06,0.004096928544473
Kepler-970,0.014441637205891311,0.1980904021151214
Kepler-971,1.1242874847994244e-05,0.0089325588601114
Kepler-972,0.00011690209976222832,0.0280155608418713
Kepler-973,1.3093149391352199e-05,0.0052206338702809
Kepler-974,1.4127799886409775e-05,0.0090281596238726
Kepler-975,1.54739183244601e-05,0.0108949565819865
Kepler-976,0.0017304295470239595,0.0510923034013657
Kepler-977,5.425463587016566e-05,0.0203017513297959
Kepler-978,1.251242179023393e-05,0.0064402281453449
Kepler-979,4.4790813262807205e-05,0.0217334386807887
Kepler-98,1.0706479770306032e-05,0.0051290340171746
Kepler-980,1.9831225017696852e-05,0.0135359608182725
Kepler-981,7.878007727413205e-05,0.0205194643387931
