tid,toi,tfopwg_disp,ra,dec,st_rad,st_teff
354600221,1534.01,FP,6.074676,57.881718,1.68,6329.0
420288086,1535.01,FP,10.962717,61.835626,2.67,7715.3
445137888,1536.01,FP,11.3024,56.070058,2.67713,10310.0
252636888,1539.01,FP,346.518266,52.787014,3.22,5855.0
389525208,154.01,FP,313.261454,-38.594923,2.57,5910.7
318746829,1540.01,FP,349.718625,56.008598,,3593.0
319068154,1541.01,FP,350.108816,55.52411,2.36,9500.0
431585347,1543.01,FP,357.674034,50.354962,2.32,9238.0
127425841,1545.01,FP,6.030617,40.165571,2.0,6905.3
409520860,1547.01,FP,355.451893,37.186566,1.44,5758.0
191146556,1549.01,FP,8.304382,46.340305,1.49,6116.5
241065596,1550.01,FP,21.736201,49.388653,3.96,6628.0
326919774,1552.01,FP,22.972973,46.399826,4.72,9146.0
388076005,1622.01,FP,318.049804,68.05247,1.0,5932.2
407394748,1623.01,FP,5.420651,77.880071,1.77,7325.2
461387302,1624.01,FP,3.021798,66.650523,1.27,6406.0
470852531,1625.01,FP,359.741171,61.554089,1.43,6587.0
51024887,1632.01,FP,42.155188,62.18926,0.165066,2990.0
230086768,1635.01,FP,246.624072,66.144224,0.389199,3496.0
269892793,1636.01,FP,44.292951,33.312657,0.687841,4769.0
286355915,1637.01,FP,37.893241,34.368925,1.64302,6531.44
348673213,1639.01,FP,35.807322,56.570014,0.611023,3896.0
79395355,164.01,FP,320.054292,-51.309972,1.3,5926.0
22843856,1644.01,FP,39.006522,25.588461,1.24,6019.0
184679932,1645.01,FP,32.294112,40.401942,1.30937,6198.0
154927364,1647.01,FP,207.874218,84.071615,1.86,5821.7
116608612,1649.01,FP,85.66321,35.185708,1.78,8170.0
350743714,165.01,FP,88.886226,-57.290745,1.91151,6038.0
122485078,1650.01,FP,76.851285,36.275085,3.02,7719.0
458914949,1587.01,FP,48.423422,61.907831,2.51,7275.0
52041724,1589.01,FP,14.119486,65.679038,1.78,7455.0
71854745,1590.01,FP,26.299423,54.56844,,9050.3
82010657,1591.01,FP,48.753158,60.238195,1.7,7519.0
186599508,1592.01,FP,45.08847,39.068266,1.38826,5669.9
192372961,1593.01,FP,45.598372,43.183802,4.77,6716.5
201154493,1594.01,FP,56.143332,41.064351,4.35,9447.0
385105624,1595.01,FP,50.808098,46.682113,1.53,6222.3
431899140,1596.01,FP,56.222542,45.507188,3.62,7962.9
68152139,1597.01,FP,44.401798,40.016703,1.49,6001.0
253917293,160.01,FP,337.500827,-31.924356,1.28,5935.0
187029841,1600.01,FP,34.555963,38.478824,1.95,6056.9
118301361,1604.01,FP,34.195855,29.570473,3.02,7249.8
26433869,1607.01,FP,56.814344,30.149498,7.83,4963.0
138017750,1608.01,FP,50.80115,33.078133,2.13,6057.7
272625214,1613.01,FP,356.318574,62.142699,1.44,6651.0
317397615,1614.01,FP,349.796329,75.017864,4.04,5182.0
317507345,1615.01,FP,351.174718,77.627113,1.51,7170.0
322202434,1617.01,FP,325.32505,68.807202,0.94,5521.0
376838000,1618.01,FP,340.909648,69.091928,2.0,10596.0
377144784,1619.01,FP,342.443925,68.251071,4.73,5017.0
121966220,1688.01,FP,75.797813,41.785784,2.3529,5843.0
154867950,1652.01,FP,188.3547,84.678957,1.99,5329.0
27677846,1657.01,FP,66.370139,46.365902,0.79,5304.0
286561122,1658.01,FP,65.876229,35.495109,2.97877,7325.5
311121985,1660.01,FP,85.581285,49.513452,1.86,6375.0
312122956,1661.01,FP,88.475966,30.446042,,
339538183,1662.01,FP,93.318904,63.685008,1.78,7235.0
353367071,1663.01,FP,89.934847,33.506969,2.11,7895.7
354006740,1665.01,FP,88.369051,37.339411,2.03,6481.7
368536386,1666.01,FP,89.420179,36.765805,2.0,7185.0
409183335,1667.01,FP,81.807832,38.597453,1.76,7174.0
417705690,1668.01,FP,348.607533,76.93432,1.04,5420.0
468828873,1672.01,FP,91.872047,66.857699,1.89,6064.0
470315428,1673.01,FP,64.648489,52.865034,1.4,5562.6
73104318,1674.01,FP,61.721603,58.465452,2.45,5029.7
96291218,1678.01,FP,73.034809,30.280386,2.05,8001.0
9837861,1679.01,FP,70.54858,54.292058,2.68,5235.5
298666530,1729.01,FP,278.399911,58.205529,,5780.0
53427308,1733.01,FP,118.881765,54.596601,1.5,5846.0
23650642,1700.01,FP,126.088625,42.104735,1.01,5524.0
371210825,1702.01,FP,111.559352,32.383825,0.89,4252.9
95129101,1704.01,FP,114.932863,28.120146,1.34,6621.9
137500798,1705.01,FP,132.635012,82.92712,1.67,6653.0
240148934,1707.01,FP,101.382168,31.465533,1.48,6582.0
309257814,171.02,FP,124.269428,-63.213403,1.1072299,5237.0
461662295,1711.01,FP,124.446664,51.01037,0.97,5326.0
67926921,1712.01,FP,127.945702,44.832314,3.17,6831.4
142090065,1715.01,FP,79.073505,79.737727,1.50581,7072.0
81212286,1724.01,FP,127.032597,56.427529,0.380019,3541.0
86280613,1786.01,FP,141.721087,61.698996,1.83,6505.0
450327768,1788.01,FP,160.229227,35.913354,1.26,5776.0
135083444,1795.01,FP,184.3669,19.839989,1.16271,6071.0
272086159,176.01,FP,115.003473,-72.205678,0.271,3270.0
420112587,1760.01,FP,290.173976,73.195993,0.254522,3212.0
457138169,1770.01,FP,141.367951,50.908874,1.4487799,6273.0
183979262,183.01,FP,21.650295,-72.748874,2.72192,6270.0
20182165,1830.01,FP,226.181249,38.605375,1.21,6327.16
207468071,1836.02,FP,245.907924,54.690077,1.62,6351.0
300871545,184.01,FP,117.657401,-70.533461,1.44956,6380.0
258871793,1843.01,FP,287.894787,66.328065,1.2752,5954.0
219824469,1848.01,FP,204.440006,48.250123,1.62,5923.0
307734817,1808.01,FP,171.59704,28.056535,1.59204,6351.66
377290815,1813.01,FP,286.592985,56.629312,1.84,6194.2
233720539,1815.01,FP,276.379287,63.488103,2.48,6454.0
260609205,219.01,FP,97.453898,-57.254816,2.23892,6354.0
