tic_id,sector,ra,dec,st_rad,st_rad_err,st_mass,st_mass_err,st_teff
370082509,104,297.283670218497,-53.1836678823223,0.526803,0.0160353,0.523912,0.0205531,3660.0
2027231843,104,332.19925211428,-51.178514121255,,,,,
372980435,104,259.829536219895,-51.5854779525909,0.744712,0.0513769,0.79,0.096471,4859.0
343958580,104,285.893454174097,-55.7652929033617,3.92349,,,,5305.0
327918216,104,2.19475371447332,-66.7594633318605,10.6776,,,,4797.0
254015508,104,284.759335199466,-40.0831736227843,0.606392,0.0183177,0.593273,0.0204566,3737.0
1533122281,104,266.142945211359,-40.9487381717411,,,,,
195170680,104,271.515989690976,-35.2464408159337,7.79063,,,,4577.0
1923663333,104,291.841737034682,-49.6162034639501,,,,,
339262037,104,294.754074422094,-64.8635919118228,0.18,0.104,0.47,0.03,31000.0
308241480,104,42.2609156336536,-36.8310908014075,1.32774,0.0641885,1.06,0.131585,5855.0
1988280713,104,300.916340583952,-71.216693895881,,,,,
352438054,104,310.793320025998,-65.0214934623644,0.189385,0.00571375,0.158642,0.0200624,3444.0
382388574,104,289.418428124926,-68.079033783,0.854407,0.0417488,1.04,0.130655,5800.0
320841837,104,299.24039626316,-57.9256413324376,45.7708,,,,4049.0
325210265,104,356.012427854379,-67.5163766220112,0.166715,0.00571767,0.137354,0.0201973,3701.0
2027025151,104,332.43786000807,-54.3678646292489,,,,,
183636775,104,18.9450871794948,-41.3647438891589,0.785445,0.0579623,0.77,0.0911732,4775.0
180999530,104,16.2611378727275,-37.8377820766317,15.5938,,,,4420.0
139763242,104,323.774244986951,-52.58987493781,,,,,3163.0
401842610,104,26.6304025521621,-46.2393797092783,8.78885,,,,4642.25
123370805,104,32.045442533123,-32.0462979703867,1.31278,0.0628141,1.04,0.124599,5789.0
123318213,104,29.5043038486133,-35.4498463766227,1.73349,0.0882035,1.15,0.153106,6097.0
201310151,104,4.11188128641679,-58.1417585403561,,,,,
2055563216,104,354.374913403375,-48.2773142803814,,,,,
331442020,104,272.465791371956,-36.9683298622026,,,,,
471015391,104,321.296,-68.9497,0.18,0.104,0.47,0.03,31000.0
156084350,104,11.2497587578669,-53.7148936596901,2.13778,0.10142,1.21,0.165309,6233.0
615991515,104,19.8414878029989,-58.8068175808573,,,,,
206652542,104,23.8971674642702,-59.6567953287235,10.0798,,,,4690.8
352480662,104,323.797484141698,-72.2658032816454,0.703544,0.0244422,0.666004,0.0221916,3811.0
158536414,104,19.9432393334898,-50.0152104629347,1.95698,0.0858543,1.31,0.200111,6464.0
313002372,104,277.762284798658,-41.9138338046488,1.90791,0.0590954,2.05,0.321811,8318.0
215256975,104,42.4656404920152,-37.9095351729137,1.51186,0.0759346,1.02,0.126514,5711.0
632226222,104,23.3075595801935,-26.1044694814557,,,,,
1989507617,104,302.710858578423,-52.8424149704011,,,,,
2054850485,104,348.512852976793,-69.6940314230534,,,,,
161172848,104,339.876139647712,-52.0881322520608,0.847445,0.045113,0.92,0.115606,5327.0
281765034,104,12.687159421727,-57.3299096637445,1.27314,0.0628543,0.99,0.130316,5613.0
140431393,104,20.0103913653583,-32.871809924953,10.3309,,,,4894.7
79353860,104,319.564666998791,-53.2229775890079,,,,,
32395981,104,25.9870068362306,-30.7273018611605,2.9274,0.105422,1.79,0.29873,7654.0
1528888766,104,265.705738455026,-44.2500791455221,,,,,
364637541,104,271.186516269335,-48.3166797014713,0.846245,0.0477588,0.9,0.115546,5245.0
372301002,104,314.847495420688,-68.8999708651742,8.76143,,,,4977.0
466098985,104,294.932482381824,-67.4571200448264,17.4837,,,,4537.0
101356597,104,300.262521092021,-52.9909684140971,0.875697,0.0441759,1.01,0.131506,5674.0
254038934,104,285.106123426353,-41.0231802345568,,,,,
206352088,104,355.079366750284,-51.4357441178949,1.11541,0.0538944,1.2,0.183228,6228.8
616604712,104,17.2397150599802,-35.96401455808,,,,,
91320365,104,278.092983097837,-46.2393328787693,0.311065,0.00966963,0.289282,0.0204136,3389.0
166674855,104,34.5676352937029,-49.0376295416342,0.589915,0.0531331,0.66,0.0787954,4249.8
2026574437,104,338.080422627496,-59.180521454515,,,,,
234299476,104,358.667395670512,-60.8594415919973,0.70871,0.0512814,0.75,0.0877213,4685.0
152360195,104,44.9472565329769,-39.113921900524,0.877706,0.0470277,0.95,0.118465,5434.0
219306160,104,316.742218268195,-59.5356288327507,1.86518,0.0806183,1.34,0.209387,6510.0
2054984267,104,348.690730601901,-63.9628756960919,,,,,
79055422,104,315.624645629045,-50.2753268726058,,,,,
425937794,104,5.43622970584332,-64.3714295132237,21.4009,,,,4456.3
347775136,104,253.999075328624,-52.5375329966575,,,,,
