host,label,status,chi2red_min,depth_consistency_std,secondary_eclipse_depth,transit_shape_ratio,elapsed_s
GJ_27.1,1,Success,6.84091989626484e-07,0.0001606144313276,1.737004684720933e-05,-0.1712452771536023,33.236253250041045
GJ_273,1,Success,1.375736701229617e-07,0.0001007767980427,-1.3841657004576293e-05,,22.12618875002954
GJ_3021,1,Success,3.6640250622903976e-08,0.0001814833045044,1.4166156580786016e-05,,30.41426612494979
GJ_3082,1,Success,4.872134850364018e-07,0.0001360719666362,-1.650409317477397e-05,,33.985918124963064
GJ_3090,1,Success,6.693948278195452e-07,0.0001565283279559,4.214310867500792e-06,,32.51235020899912
GJ_3138,1,Success,6.710746594271691e-07,0.0002403927044613,2.040145193438203e-05,1.521901996289597,19.97642033302691
GJ_317,1,Success,7.989991003817196e-07,0.0003351392828531,4.712620761404551e-07,,19.240996167005505
GJ_3222,1,Success,1.035034097361734e-06,0.0003021193061961,3.5949185456463084e-05,-1.4095159222552027,13.51768724998692
GJ_328,1,Success,2.155744967949934e-07,8.944713114051789e-05,-1.7820154258885168e-06,0.1730547834059822,15.4841653330368
GJ_3293,1,Success,1.119854641548406e-06,0.0002411011789383,1.114092795428956e-05,-0.3377910222307102,28.790784000011627
GJ_3323,1,Success,2.462900276050287e-06,0.000549573042423,1.1246308916024184e-05,,28.402970582945272
GJ_3341,1,Success,1.5169530649411644e-06,,4.5541725202435934e-05,,31.003297624993134
GJ_3378,1,Success,5.614030331627459e-07,0.0001572842987944,3.015402756600949e-05,,20.928974959009793
GJ_338_B,1,Success,9.96931920827618e-06,0.0025078264331277,4.1309725820060095e-06,,39.911790457961615
GJ_341,1,Success,1.6271681263927524e-07,,1.2088376646790522e-05,-1.0452657188054657,24.053571125026792
GJ_3470,1,Success,7.239009383824394e-06,0.0005745300452288,-2.0230817197264273e-05,0.4267941798054859,75.07040066702757
GJ_3473,1,Success,4.0450554358005815e-06,0.000382912798285,0.000144450601331,,25.0794084170484
GJ_3512,1,Success,7.235851168391064e-06,0.0006517441309211,6.078270196141489e-05,,36.366251625004224
GJ_357,1,Success,3.306202228189139e-07,6.692704828947675e-05,-5.350013833549383e-05,,21.475582625018433
GJ_3634,1,Success,9.606549452861302e-07,0.0001261052458406,-2.639669614223905e-06,-1.2869830330842704,28.467818334000185
GJ_367,1,Success,2.3004707480435186e-07,,2.5326224025623567e-05,,29.608467207988724
GJ_3779,1,Success,1.7392732845112889e-06,0.0002873887344058,-1.832792567491026e-05,,24.96354979102034
GJ_3929,1,Success,1.7577345307294737e-06,0.0003077460233293,-6.23896888773956e-06,-0.3170069588282042,22.699235041975044
GJ_393,1,Success,4.705136150626477e-07,0.0001858566827742,1.1378577482457075e-06,0.3956590955227522,84.88368400000036
GJ_3942,1,Success,3.062748373861847e-07,6.66831693763581e-05,-2.7128020267497277e-05,0.7047699459555481,23.693702000018675
GJ_3988,1,Success,2.5191634406912978e-06,0.000345723778903,3.1553302277442796e-05,,27.95825495797908
GJ_411,1,Success,2.507971449121467e-06,0.0003089667147767,-2.2147247596970843e-05,0.3670151284093947,24.36700120801106
GJ_414_A,1,Success,9.392278643537512e-07,0.0003076291630577,3.727856249724493e-05,,30.52521029196214
GJ_422,1,Success,7.862816696288268e-07,0.0001142625242295,-2.626738166044973e-05,-2.4575380180893327,22.086213333008345
GJ_4274,1,Success,2.8247365574166055e-05,0.0019283180722016,7.505495333359757e-05,,81.47603745799279
GJ_4276,1,Success,1.8338561627613843e-06,0.0006330613119438,-4.396916994497957e-06,,25.496387457998935
GJ_433,1,Success,1.4754405399716892e-07,3.516802755101814e-05,4.168679624383387e-06,,19.402901292021852
GJ_436,1,Success,3.240746825532708e-07,0.0002862794837401,1.7360983283754017e-05,0.2767450189818519,26.781144957989454
GJ_463,1,Success,6.860055823911032e-07,0.0001704243231073,1.1292198305312697e-05,-0.2870625116197749,24.585742999974173
GJ_480,1,Success,6.201065771038211e-07,8.887896505715975e-06,-3.035794698957872e-06,,18.303896291006826
GJ_486,1,Success,4.590281242736776e-07,0.0001533872354625,8.01378494043048e-05,0.0743738342607014,16.283096458006185
GJ_504,1,Success,1.2941295321098178e-07,0.0001484313374657,4.625186723616892e-06,,29.456044416991062
GJ_508.2,1,Success,3.875493619460478e-07,0.00023107269181,6.60768097371367e-06,,19.24495050002588
GJ_514,1,Success,1.575239137092899e-07,0.0001576043731788,1.1028314936600836e-05,,26.70744995900895
GJ_536,1,Success,6.538536428416377e-07,7.615754896240936e-06,-1.095426549024836e-06,-0.083509789453125,103.32118666596944
GJ_581,1,Success,9.30966481149346e-07,0.0002957430192992,-1.32442107192432e-06,,82.6393875409849
GJ_625,1,Success,2.1742853699428962e-07,0.0001696580140967,3.404407393159392e-05,0.4185429483976567,24.872341666952707
GJ_649,1,Success,2.0223439509369705e-07,0.000176828530409,2.3329034824604022e-05,,30.792998582997825
GJ_674,1,Success,1.238822959187605e-07,4.42561648146822e-05,-8.954315142029046e-06,,21.68711095798062
GJ_676_A,1,Success,1.9704283506001362e-07,0.0002073804732839,4.004937715418322e-05,,24.01727304101223
GJ_680,1,Success,1.8139376380431428e-06,0.0002340032433329,1.1564953914744436e-05,0.1152939978849156,126.97911495802693
GJ_682,1,Success,7.197382428771918e-07,8.206202566963294e-05,1.9308955295893604e-05,0.654283871092745,22.773178291972727
GJ_685,1,Success,1.9654661445759933e-07,0.0001790750704171,3.962598605800061e-06,-0.4209503313704162,29.492507499991916
GJ_687,1,Success,1.154484760578035e-07,0.0001719754144229,-1.1160437569213144e-05,0.0913317227556989,33.473221499996725
GJ_720_A,1,Success,2.0889792997680809e-07,0.0001120213315342,2.0849162119196407e-05,,25.776714416977484
GJ_724,1,Success,5.14433606809303e-07,0.0001597479973239,1.969312898164599e-05,,28.798294083040673
GJ_740,1,Success,1.170165711271322e-07,4.304824341593764e-05,8.107383274724711e-07,,17.63086650002515
GJ_806,1,Success,4.061628438983458e-07,0.0001138039874418,0.0002423898464644,,30.664803500054404
GJ_832,1,Success,4.9087516732715846e-08,0.0001116196545917,8.150734913447977e-06,,25.10263458400732
GJ_849,1,Success,7.504490492560775e-07,0.0001153585526477,6.381063230587181e-06,0.4363348207013504,41.454359041992575
GJ_86,1,Success,4.022504490941589e-08,1.714079213586091e-05,1.5180166346162594e-08,0.0141942320007066,24.635241042007692
