Host Star,Status,search_seconds,download_seconds,write_seconds,search_method
KMT-2022-BLG-1013L,No TESS Data,3.2216633330099285,0.0,0.0,none
KMT-2022-BLG-1551L,No TESS Data,3.081915624992689,0.0,0.0,none
KMT-2022-BLG-1790L,No TESS Data,5.46025429200381,0.0,0.0,none
KMT-2022-BLG-1818L,No TESS Data,3.1513615000003483,0.0,0.0,none
KMT-2022-BLG-2076L,No TESS Data,5.748399750009412,0.0,0.0,none
KMT-2022-BLG-2286L,No TESS Data,3.198330332990736,0.0,0.0,none
KMT-2023-BLG-0119L,No TESS Data,6.7377481250150595,0.0,0.0,none
KMT-2023-BLG-0332L,No TESS Data,4.868870625010459,0.0,0.0,none
KMT-2023-BLG-0416L,No TESS Data,3.050173834024463,0.0,0.0,none
KMT-2023-BLG-0466L,No TESS Data,7.169470416993136,0.0,0.0,none
KMT-2023-BLG-0469L,No TESS Data,3.9363363750162534,0.0,0.0,none
KMT-2023-BLG-0548L,No TESS Data,3.4025034589867573,0.0,0.0,none
KMT-2023-BLG-0735L,No TESS Data,3.8615866670152177,0.0,0.0,none
KMT-2023-BLG-0830L,No TESS Data,4.331097874994157,0.0,0.0,none
KMT-2023-BLG-0949L,No TESS Data,3.9315950839954894,0.0,0.0,none
KMT-2023-BLG-1454L,No TESS Data,5.8352227919967845,0.0,0.0,none
KMT-2023-BLG-1592L,No TESS Data,3.978029499994591,0.0,0.0,none
KMT-2023-BLG-1642L,No TESS Data,4.455194084002869,0.0,0.0,none
KMT-2023-BLG-1743L,No TESS Data,1.5663292920216918,0.0,0.0,none
KMT-2023-BLG-1866L,No TESS Data,4.00820820798981,0.0,0.0,none
KMT-2023-BLG-1896L,No TESS Data,3.757983999996213,0.0,0.0,none
KMT-2023-BLG-2209L,No TESS Data,4.016463667008793,0.0,0.0,none
KMT-2024-BLG-0176L,No TESS Data,4.597038959007477,0.0,0.0,none
KMT-2024-BLG-0349L,No TESS Data,4.044322124973405,0.0,0.0,none
KMT-2024-BLG-0404L,No TESS Data,6.763536666985601,0.0,0.0,none
KMT-2024-BLG-1005L,No TESS Data,3.3312569999834523,0.0,0.0,none
KMT-2024-BLG-1044L,No TESS Data,4.181283709011041,0.0,0.0,none
KMT-2024-BLG-1209L,No TESS Data,3.896000582986744,0.0,0.0,none
KMT-2024-BLG-1281L,No TESS Data,5.851150625006994,0.0,0.0,none
KMT-2024-BLG-1870L,No TESS Data,5.38326879098895,0.0,0.0,none
KMT-2024-BLG-2005L,No TESS Data,4.973280500009423,0.0,0.0,none
KMT-2024-BLG-2059L,No TESS Data,5.060249250003835,0.0,0.0,none
KMT-2024-BLG-2087L,No TESS Data,4.640010417002486,0.0,0.0,none
