hostname,pl_name,ra,dec,st_rad,st_teff,st_mass
Kepler-859,Kepler-859 b,286.7418337,43.1901197,0.77,5020.0,0.81
KMT-2018-BLG-1025L,KMT-2018-BLG-1025L b,269.8664167,-27.8780611,,,0.219
KMT-2018-BLG-1976L,KMT-2018-BLG-1976L b,266.3546667,-35.7003306,,,0.65
WASP-157,WASP-157 b,201.6551525,-8.3176353,1.1,5772.0,1.06
Kepler-1333,Kepler-1333 b,293.5275797,41.111394,0.92,5628.0,0.94
Kepler-1120,Kepler-1120 b,290.9144516,42.2865522,0.74,4904.0,0.78
Kepler-264,Kepler-264 c,292.044628,37.3761861,1.55,6158.0,1.426
Kepler-1242,Kepler-1242 b,284.6062174,41.196344,0.74,4895.0,0.77
K2-214,K2-214 b,14.8759777,4.2277722,1.236,5875.0,1.03
Kepler-1228,Kepler-1228 b,296.552761,46.9661945,0.74,5063.0,0.78
Kepler-1501,Kepler-1501 b,289.918589,42.001428,1.3,6229.0,1.2
HD 156279,HD 156279 b,258.0966686,63.3527828,0.95,5453.0,0.94
TOI-1443,TOI-1443 b,297.398678,76.1391776,0.7511,5224.0,0.7663
KMT-2022-BLG-0440L,KMT-2022-BLG-0440L b,269.5835833,-32.2953056,,,0.53
HD 72892,HD 72892 b,128.7195554,-14.4574311,1.22,5688.0,1.01
Kepler-385,Kepler-385 c,294.3385109,50.3365178,1.126,6326.0,0.992
TOI-2345,TOI-2345 b,43.884794,-34.9779745,0.729,4687.0,0.727
Kepler-1099,Kepler-1099 b,288.7499866,48.2771163,1.0,5837.0,1.01
Kepler-587,Kepler-587 b,288.6706571,47.3991249,0.89,5549.0,0.92
K2-197,K2-197 b,202.3934779,-7.3739779,0.93,5667.0,1.0
HD 158259,HD 158259 b,261.3495847,52.7904721,1.21,5801.89,1.08
Kepler-62,Kepler-62 b,283.2125621,45.3496992,0.64,4925.0,0.69
HD 21520,HD 21520 b,51.6403449,-43.6136649,1.044,5871.0,1.09
Kepler-115,Kepler-115 c,297.7119299,45.261985,1.205,5979.0,1.042
