host,status,n_original,n_after_quality,n_after_outliers,n_final,pct_removed,pre_norm_median_flux,flux_source,elapsed_s
K2-411,Success,3390.0,2595.0,2595.0,2595.0,23.45132743362832,4157.2163,pdcsap_flux,0.0508449170156382
K2-405,Success,16574.0,16174.0,16173.0,16173.0,2.41945215397611,2588.7021,pdcsap_flux,0.2270087500219233
K2-406,Success,15843.0,11701.0,11700.0,11700.0,26.15035031244083,38923.732,pdcsap_flux,0.1947365840023849
K2-407,Success,14096.0,12586.0,12584.0,12584.0,10.726447219069236,4151.61265,pdcsap_flux,0.1922216250095516
K2-408,Success,14095.0,12458.0,12458.0,12458.0,11.614047534586737,5288.4118,pdcsap_flux,0.1821896250185091
K2-409,Success,14055.0,12474.0,12474.0,12474.0,11.248665955176095,2327.93985,pdcsap_flux,0.1732539590157102
K2-416,Success,14999.0,9035.0,9035.0,9035.0,39.76265084338956,1083.2966,pdcsap_flux,0.1602192090067546
K2-417,Success,15019.0,9082.0,9081.0,9081.0,39.5365869898129,2123.9863,pdcsap_flux,0.1749814580252859
K2-413,Success,15276.0,11186.0,11186.0,11186.0,26.77402461377324,495.53425,pdcsap_flux,0.1986197080113925
K2-415,Success,16287.0,15510.0,15495.0,15495.0,4.86277399152698,1536.5833,pdcsap_flux,0.2211644999915734
K2-419_A,Success,16285.0,15500.0,15499.0,15499.0,4.826527479275411,254.03557,pdcsap_flux,0.2284015000041108
K2-44,Success,16537.0,16204.0,16203.0,16203.0,2.0197133700187497,3791.7844,pdcsap_flux,0.2328113330004271
K2-45,Success,16535.0,16200.0,16200.0,16200.0,2.026005442999701,248.906815,pdcsap_flux,0.2338827079802286
K2-46,Success,16536.0,16203.0,16203.0,16203.0,2.0137880986937584,3944.7568,pdcsap_flux,0.2211048330063931
K2-47,Success,16530.0,16203.0,16203.0,16203.0,1.9782214156079836,904.372,pdcsap_flux,0.2308500419894699
K2-48,Success,16507.0,16233.0,16233.0,16233.0,1.659901859817048,742.6213,pdcsap_flux,0.2357602499832864
K2-49,Success,17490.0,16959.0,16959.0,16959.0,3.036020583190391,268.65616,pdcsap_flux,0.2336035000043921
K2-5,Success,16539.0,16192.0,16191.0,16191.0,2.1041175403591517,623.1778,pdcsap_flux,0.2337902919971384
K2-50,Success,16507.0,16233.0,16233.0,16233.0,1.659901859817048,692.07355,pdcsap_flux,0.2203755829832516
K2-55,Success,15016.0,9780.0,9780.0,9780.0,34.86947256259989,1982.40305,pdcsap_flux,0.1668837500037625
K2-54,Success,18299.0,18299.0,18299.0,18299.0,0.0,973.37616,pdcsap_flux,0.2596949170110747
K2-57,Success,18300.0,18300.0,18300.0,18300.0,0.0,742.4301,pdcsap_flux,0.2618864170217421
K2-59,Success,14984.0,9620.0,9620.0,9620.0,35.79818473037907,803.659,pdcsap_flux,0.1643567080027423
K2-60,Success,14986.0,9663.0,9662.0,9662.0,35.526491391965834,2331.1803499999996,pdcsap_flux,0.1555685409985017
K2-6,Success,17803.0,14222.0,14222.0,14222.0,20.114587429084985,2332.1267,pdcsap_flux,0.2159281249914784
K2-61,Success,14985.0,9609.0,9609.0,9609.0,35.87587587587587,1809.53,pdcsap_flux,0.1552961670095101
K2-42,Success,103010.0,91631.0,91630.0,91630.0,11.047471119308804,431.05909,pdcsap_flux,1.2365270419977603
K2-63,Success,14926.0,9671.0,9653.0,9653.0,35.32761624011792,2024.0281,pdcsap_flux,0.1451323340006638
K2-414,Success,112432.0,92246.0,92241.0,92241.0,17.958410416963144,832.0543,pdcsap_flux,1.308617583999876
K2-64,Success,14926.0,9733.0,9733.0,9733.0,34.79163875117245,720.49896,pdcsap_flux,0.164338166010566
K2-43,Success,102913.0,91801.0,91801.0,91801.0,10.79746970742278,414.8163,pdcsap_flux,1.260582582995994
K2-66,Success,14568.0,9653.0,9653.0,9653.0,33.73833058758924,3898.9885,pdcsap_flux,0.1610597500111907
K2-69,Success,14926.0,9746.0,9746.0,9746.0,34.70454240921881,415.16321,pdcsap_flux,0.1621412080130539
K2-65,Success,18609.0,15891.0,15891.0,15891.0,14.605835885861683,19313.805,pdcsap_flux,0.2383598749875091
K2-70,Success,14921.0,9667.0,9620.0,9620.0,35.52710944306682,2321.7577,pdcsap_flux,0.1779746249958407
K2-58,Success,90697.0,57282.0,57279.0,57279.0,36.845761160788115,3883.155,pdcsap_flux,0.9029987080139108
K2-71,Success,14999.0,9434.0,9434.0,9434.0,37.10247349823321,415.653725,pdcsap_flux,0.1783359170076437
K2-7,Success,16902.0,15783.0,15782.0,15782.0,6.626434741450716,1484.79175,pdcsap_flux,0.2370409589784685
K2-72,Success,14568.0,9653.0,9653.0,9653.0,33.73833058758924,920.7627,pdcsap_flux,0.1840903340198565
K2-73,Success,14567.0,9652.0,9651.0,9651.0,33.74751149859271,5048.0137,pdcsap_flux,0.1671736249991227
K2-75,Success,14568.0,9619.0,9619.0,9619.0,33.971718835804495,2347.0176,pdcsap_flux,0.1738947920093778
K2-74,Success,18652.0,15730.0,15730.0,15730.0,15.665880334548577,2468.96145,pdcsap_flux,0.2584552080079447
K2-79,Success,16866.0,12140.0,12052.0,12052.0,28.54263014348393,5303.86115,pdcsap_flux,0.210358415992232
K2-77,Success,17567.0,16951.0,16951.0,16951.0,3.5065748278021336,5012.336,pdcsap_flux,0.2581405410019215
K2-8,Success,16537.0,16193.0,16192.0,16192.0,2.0862308762169657,534.56487,pdcsap_flux,0.2393520420009736
K2-62,Success,90198.0,56380.0,56380.0,56380.0,37.493070799796,4668.72235,pdcsap_flux,0.955497999995714
K2-81,Success,16863.0,12169.0,12168.0,12168.0,27.84202099270593,930.627195,pdcsap_flux,0.1944260000018403
K2-80,Success,17568.0,17286.0,17286.0,17286.0,1.605191256830596,3215.5007,pdcsap_flux,0.2619316250202246
K2-84,Success,16863.0,11871.0,11871.0,11871.0,29.603273438889875,1605.3835,pdcsap_flux,0.1997253329900559
K2-83,Success,16864.0,14105.0,14105.0,14105.0,16.360294117647058,1129.0444,pdcsap_flux,0.2211029999889433
K2-85,Success,16861.0,13326.0,13326.0,13326.0,20.9655417828124,4856.86135,pdcsap_flux,0.1951799590024165
K2-86,Success,16862.0,13149.0,13149.0,13149.0,22.019926461866923,2051.0042,pdcsap_flux,0.2084163750114385
K2-87,Success,16644.0,15576.0,15576.0,15576.0,6.416726748377799,1510.9776,pdcsap_flux,0.2103812499844934
K2-88,Success,16862.0,12189.0,12189.0,12189.0,27.713201280986834,657.8469,pdcsap_flux,0.2046185829967726
K2-89,Success,17387.0,15472.0,15472.0,15472.0,11.01397595904986,1929.20255,pdcsap_flux,0.2285191249975469
K2-9,Success,17514.0,16950.0,16949.0,16949.0,3.225990636062581,508.8461,pdcsap_flux,0.2371412919892463
K2-90,Success,17028.0,13081.0,13081.0,13081.0,23.179469109701667,1855.2932,pdcsap_flux,0.2140490830061026
K2-91,Success,16865.0,15608.0,15607.0,15607.0,7.459235102282835,1008.24457,pdcsap_flux,0.2355932079954072
K2-95,Success,16172.0,14632.0,14632.0,14632.0,9.522631709126884,179.868575,pdcsap_flux,0.2173750420042779
K2-97,Success,16343.0,16343.0,16343.0,16343.0,0.0,3570.4114,pdcsap_flux,0.2371020420105196
K2-99,Success,14682.0,11173.0,11158.0,11158.0,24.002179539572268,9690.6175,pdcsap_flux,0.1779594580002594
K2-98,Success,16342.0,16342.0,16342.0,16342.0,0.0,3602.4485,pdcsap_flux,0.2386914160160813
KELT-1,Success,16511.0,12850.0,12462.0,12462.0,24.52304524256557,13047.3985,pdcsap_flux,0.2274589169828687
K2-68,Success,112264.0,95366.0,95366.0,95366.0,15.0520202380104,2519.42985,pdcsap_flux,1.391341000009561
KELT-11,Success,16890.0,15771.0,14930.0,14930.0,11.60449970396684,190391.98,pdcsap_flux,0.2309207090002019
KELT-14,Success,16341.0,16341.0,15772.0,15772.0,3.482039042898233,11487.981,pdcsap_flux,0.2320035419834312
KELT-12,Success,17246.0,17246.0,17098.0,17098.0,0.8581700104371981,13742.4155,pdcsap_flux,0.2534198749926872
KELT-15,Success,16343.0,16343.0,15782.0,15782.0,3.4326623019029556,8686.763500000001,pdcsap_flux,0.2559817080036737
KELT-16,Success,17456.0,12949.0,12805.0,12805.0,26.64413382218148,4316.0024,pdcsap_flux,0.2214541249850299
KELT-17,Success,16281.0,15235.0,14500.0,14500.0,10.939131502978928,38857.52,pdcsap_flux,0.2312139169953297
KELT-18,Success,17532.0,12205.0,11530.0,11530.0,34.23454255076431,19200.01,pdcsap_flux,0.2232520419929642
KELT-20,Success,18012.0,11999.0,11620.0,11620.0,35.487452809238285,154517.725,pdcsap_flux,0.2193859590042848
KELT-19_A,Success,16334.0,15977.0,15533.0,15533.0,4.903881474225546,22832.613,pdcsap_flux,0.240047917002812
KELT-21,Success,18322.0,18322.0,17523.0,17523.0,4.360877633446125,11024.12,pdcsap_flux,0.2683093340019695
KELT-23_A,Success,18422.0,15097.0,14507.0,14507.0,21.251764194984258,20178.408,pdcsap_flux,0.2411451670050155
KELT-2_A,Success,16938.0,15968.0,15126.0,15126.0,10.697839178179247,82232.87,pdcsap_flux,0.228643042006297
KELT-24,Success,18419.0,18419.0,17817.0,17817.0,3.268364189152506,109500.58,pdcsap_flux,0.2859239160025026
KELT-4_A,Success,17590.0,15567.0,14964.0,14964.0,14.928936895963618,23285.0975,pdcsap_flux,0.2408214589813724
KELT-3,Success,18155.0,17321.0,16612.0,16612.0,8.499036078215372,27874.465,pdcsap_flux,0.2555701249802951
KELT-6,Success,17530.0,13283.0,13037.0,13037.0,25.630347974900168,18311.123,pdcsap_flux,0.2107873329950962
KELT-7,Success,17050.0,16699.0,15909.0,15909.0,6.692082111436948,89236.72,pdcsap_flux,0.2858761250099633
KELT-9,Success,18106.0,13816.0,12431.0,12431.0,31.343201148790456,153506.62,pdcsap_flux,0.2284971660119481
KELT-8,Success,16942.0,16942.0,16890.0,16890.0,0.3069295242592362,13082.9095,pdcsap_flux,0.2581438749912195
KIC_10001893,Success,18424.0,18424.0,18423.0,18423.0,0.0054277029960969,53.934586,pdcsap_flux,0.2725672079832293
KIC_10068024,Success,18788.0,15301.0,15301.0,15301.0,18.55971896955504,1363.7819,pdcsap_flux,0.2743369580130093
KIC_10525077,Success,18553.0,11859.0,11859.0,11859.0,36.08041826119766,170.11813,pdcsap_flux,0.2262429160182364
KIC_3558849,Success,19610.0,12449.0,12449.0,12449.0,36.51708312085671,477.30948,pdcsap_flux,0.2200738340034149
KIC_3526061,Success,18556.0,17277.0,17277.0,17277.0,6.892649277861606,29506.518,pdcsap_flux,0.2663484579825308
KIC_5437945,Success,18788.0,17067.0,17067.0,17067.0,9.160102192889074,789.34235,pdcsap_flux,0.2599242090072948
KELT-10,Success,99375.0,82652.0,81313.0,81313.0,18.17559748427673,12871.265,pdcsap_flux,1.2747346250107512
KIC_5479689,Success,18787.0,18603.0,18603.0,18603.0,0.9794006493852092,817.8101,pdcsap_flux,0.2737543749972246
KIC_7917485,Success,18788.0,18604.0,18604.0,18604.0,0.979348520332124,1176.2191,pdcsap_flux,0.2852919159922749
KIC_8121913,Success,18788.0,18604.0,18604.0,18604.0,0.979348520332124,2885.21325,pdcsap_flux,0.2832190829794854
KIC_9663113,Success,18788.0,18604.0,18604.0,18604.0,0.979348520332124,645.4021,pdcsap_flux,0.2718143750098534
KMT-2016-BLG-0212L,Success,17672.0,16205.0,16205.0,16205.0,8.301267541874147,3.5811658,pdcsap_flux,0.2524568339867983
KMT-2016-BLG-1107L,Success,17656.0,16171.0,16171.0,16171.0,8.410738559130039,4.260186,pdcsap_flux,0.2365453339880332
KMT-2016-BLG-1397L,Success,17656.0,15534.0,15534.0,15534.0,12.018577254191207,0.7885557999999999,pdcsap_flux,0.2342077920038718
