host,n_points,n_points_original,was_binned,SDE,SDE_raw,FAP,period,period_uncertainty,T0,duration,depth,depth_mean,depth_mean_std,depth_mean_even,depth_mean_odd,odd_even_mismatch,rp_rs,snr,transit_count,distinct_transit_count,empty_transit_count,elapsed_s
TIC_440801822,14447,101133,True,4.73496271935717,4.378319884183187,,1.077718327133081,0.0032335237004054,2202.5509720718915,0.0208587743501371,0.9999091793423204,0.9999222572691724,2.657586646069914e-05,0.9999258971885786,0.9999182938013744,0.1009772559490564,0.0085703679558345,2.8290763097754485,24,23,1,24.50562816701131
TIC_441334829,16852,16852,False,15.649797869419636,14.112348772268634,8.0032e-05,4.445283102924438,0.0220972750037558,2991.653561186012,0.0937760385633081,0.995234659453636,0.995935368642854,0.0002968927820483,0.9963763628346224,0.9954877595382088,1.061136569555061,0.0620803444487221,13.215709612966991,6,6,0,39.2892808750039
TIC_441732151,17383,17383,False,18.417871971539892,17.464717850750116,8.0032e-05,2.0976619510731367,0.0077960776620575,1712.1016915576172,0.0359140761329267,0.9947751102910486,0.9953537533195056,0.0001797453224908,0.995632179619656,0.9950771233180654,1.0980332763219294,0.0650048425281874,57.46951300833288,13,12,1,45.86467216699384
TIC_441738827,15696,15696,False,4.597561594168663,3.882807260157333,,0.967447285294078,0.0030095732082089,1738.724918615071,0.0051523940894068,0.9982049116936969,0.9971411864227744,0.0008531742863666,0.9961062626097312,0.9982578147473736,0.8990589830402966,0.0381022003002813,3.426957023821185,25,22,3,37.214661917008925
TIC_4426490,14562,14562,False,14.812740478747877,13.96043638611078,8.0032e-05,2.6732722590441984,0.0177510321145437,3237.6741276882667,0.0746695498445175,0.9890119721568068,0.990144889995646,0.0001995795516993,0.9905124042285328,0.9897790772175412,1.3163165892400104,0.0942685924270782,51.34587088425196,9,8,1,33.157667417021
TIC_443042089,18358,18358,False,14.657466485379228,14.482851832773832,8.0032e-05,1.1000684939603078,0.0048454314963841,3014.880127271605,0.0359501273253014,0.995184848634532,0.9958593007672152,0.0003292258378459,0.9958371184412428,0.9958819955561636,0.0481843595659062,0.0624039555382693,12.89735002967069,24,24,0,38.69246716698399
TIC_443658196,18494,18494,False,13.166079902674548,11.17176290352691,8.0032e-05,4.500710235328739,0.0314742740007614,2338.2530150212333,0.1074938847240729,0.9983788930303664,0.9985742855210648,0.0001820330278874,0.9987219826577314,0.9984246948313638,0.5780023432190013,0.0362087042255183,7.531610951110903,5,5,0,34.49245279200841
TIC_444413256,18916,18916,False,15.215146424147637,14.138548245210552,8.0032e-05,4.0113719958046214,0.0174912862123,2885.658107008766,0.08458328373339,0.9955320193821048,0.9961117273326628,0.0001956776179288,0.996265421512017,0.995894956351377,0.6566353614592606,0.0601122227564648,19.28919354879078,7,7,0,58.0037166250404
TIC_444415148,12674,12674,False,9.28467517316146,8.286260067187529,8.0032e-05,1.8348344629117856,0.0141637507445486,3434.4801918890616,0.0931727585382933,0.9996461860854244,0.999695375109358,2.738820715748264e-05,0.9995887096914472,0.9997886675495008,2.596165248488023,0.0169158802139556,11.617163757891024,10,10,0,19.454258124984335
TIC_444977814,12154,12154,False,5.33638956114055,6.084591531199538,,4.74264388069922,0.0225633623485208,3313.1806697659536,0.0116442299385965,0.9972365063118978,0.9961249976348348,0.0007009805006036,0.9974163865507584,0.995210263819389,1.1840047257457242,0.0472755277099335,5.511543020657142,6,5,1,41.89024295803392
TIC_445137888,17622,17622,False,11.697212483785638,11.079561234603446,8.0032e-05,2.0103790560376686,0.0108806212010488,2884.9836102943204,0.0637347515842878,0.9994421729562734,0.9995001750172336,5.2368408404093656e-05,0.9995552943754618,0.9994454550746452,0.7427918080237411,0.0212401182109216,9.38035389678093,13,12,1,42.36684841604438
TIC_445254275,858,858,False,8.232262429985031,7.168558582041823,0.001040416,2.5723269477593256,0.0348269923359922,1767.2048702559114,0.1473397438553237,0.9994101818938952,0.999425466222146,8.247813539023623e-05,0.9993798154979954,0.9994690419133804,0.3951613399215535,0.0218406820706761,7.350950694639572,8,6,2,5.714564333029557
TIC_445586472,11932,11932,False,4.515225045580361,3.813922237393843,,8.650974746903762,0.0632744089152321,2040.53913809998,0.0778901576336795,0.997265629147322,0.9976268202469885,0.0002538018834244,0.9993315369511214,0.9958589658871464,6.408590064115295,0.0470257634398778,12.03457912989634,2,2,0,28.900571874983143
TIC_445822015,16235,16235,False,11.62595294192491,10.99853453381732,8.0032e-05,1.6606096684605438,0.0091631246009113,1545.0880035586192,0.0591640788502182,0.999272896143513,0.9993626582269804,7.871727850280655e-05,0.9993292917212142,0.9994071034553648,0.3440746147009555,0.0242496442022117,8.009212865097735,15,14,1,37.33540079201339
TIC_446549905,13957,97700,True,10.034793321798498,9.756955998328998,8.0032e-05,1.2260158777525882,0.0040728108345162,2036.344860709797,0.0276630155072458,0.9997664802414176,0.9997910693786046,5.2666458773918594e-05,0.9999650250402268,0.999629842180028,2.3113088133136355,0.0137426018189291,4.808686395040876,20,19,1,20.101157833007164
TIC_446616059,16545,16545,False,5.9357372343427,5.500693718209152,0.063705482,3.1093103438146494,0.0192812017203594,3509.2070828441847,0.1290687542361691,0.9997703997105776,0.9997947124033428,3.7530789285595264e-05,0.9997493667800053,0.9998287216208462,0.7443140290691963,0.0136267837023443,5.281320375131647,8,7,1,37.89467216702178
TIC_447283466,16519,16519,False,4.338557645942015,3.6769481263120154,,1.0152796199178455,0.0062756284332438,1544.4724162954803,0.007405655687174,0.9998708160727314,0.9997941081126552,3.807191549069888e-05,0.9997703752921886,0.9998178409331222,0.4416277407446017,0.0102214236375593,5.0035726079371585,24,22,2,45.32933954097098
TIC_44745077,14645,14645,False,8.878649867552838,8.578531523612453,0.000240096,1.8767193177497028,0.006866207254527,1411.689438514171,0.0259085896257808,0.9968023224704464,0.9968691957595566,0.0005071727660754,0.997307419354887,0.9965053136670056,0.5562821406686278,0.050853925138838,6.084789643160769,14,11,3,38.2571107079857
TIC_449050247,16472,16472,False,22.49421499826915,21.659131119235894,8.0032e-05,2.9684437188015136,0.0124087987506118,2174.5625620534493,0.0277813418441702,0.9977985763403292,0.9978217724521192,0.0003310031034577,0.9982100283628303,0.9974419568872928,0.8265570488792228,0.0421948028169199,13.098542337920447,9,8,1,38.81591916602338
TIC_449050248,16463,16463,False,22.003613045119113,20.995115656243428,8.0032e-05,2.9684437288199614,0.01240879878289,2174.56274059598,0.0277661616695909,0.9983022825566836,0.9983333919148868,0.0002650673825635,0.9985418859426388,0.9981154208858734,0.5729344817067413,0.0370544057067715,12.123897143332044,9,8,1,38.24850920797326
TIC_449197624,1145,1145,False,13.434029469961091,10.665212347211993,8.0032e-05,3.3993098511467332,0.0225383481936232,1440.5146902271854,0.0549806469877359,0.9963645918279614,0.9970126607940898,0.000485859459922,0.9957788593649894,0.9988633629377408,3.6899689549447854,0.0542230242529516,10.495354224199971,7,6,1,3.7725228329654783
TIC_449549170,18854,18854,False,9.609682889035144,8.991706475129225,8.0032e-05,1.4712368064800765,0.0094014176595145,3042.436783915961,0.0863763094247533,0.9992906970244811,0.9993756298839348,7.791164474692522e-05,0.999418108596318,0.9993358300092692,0.3731147246554649,0.0239509661903413,7.972902101153172,18,18,0,45.060361584008206
TIC_449951606,1032,1032,False,11.023290959961187,9.03391070246244,8.0032e-05,5.152419712235845,0.0815722904083133,1575.5374688499207,0.2093662802967689,0.9983148324458254,0.9984778572147504,0.00014365721684,0.9987706947862288,0.998185019643272,1.5546718018803618,0.0369171946312107,14.83952726620545,4,4,0,3.053151208034251
