host,status,t_search,t_download,search_method,n_sectors_downloaded
TIC_343297686,I/O operation on closed file.,,,,
TIC_290640851,I/O operation on closed file.,,,,
TIC_361336345,I/O operation on closed file.,,,,
TIC_351395074,I/O operation on closed file.,,,,
TIC_398448713,I/O operation on closed file.,,,,
TIC_1989030222,I/O operation on closed file.,,,,
TIC_466679588,I/O operation on closed file.,,,,
TIC_447263332,I/O operation on closed file.,,,,
TIC_1689082443,"Error in reading Data product /Users/anujtripathi/.cache/lightkurve/mastDownload/TESS/tess2026060005000-s0101-0000001689082443-0303-s/tess2026060005000-s0101-0000001689082443-0303-s_lc.fits of type TessLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again.",,,,
TIC_1922402287,I/O operation on closed file.,,,,
TIC_366004532,I/O operation on closed file.,,,,
TIC_300432135,I/O operation on closed file.,,,,
TIC_423240775,I/O operation on closed file.,,,,
TIC_406319088,I/O operation on closed file.,,,,
TIC_294292672,I/O operation on closed file.,,,,
TIC_268750437,I/O operation on closed file.,,,,
TIC_1816600800,"Error in reading Data product /Users/anujtripathi/.cache/lightkurve/mastDownload/TESS/tess2026060005000-s0101-0000001816600800-0303-s/tess2026060005000-s0101-0000001816600800-0303-s_lc.fits of type TessLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again.",,,,
TIC_374288012,I/O operation on closed file.,,,,
TIC_277715787,Success,0.3932617919635959,6.445652374997735,tic_id_spoc,3.0
TIC_42748763,I/O operation on closed file.,,,,
TIC_340902907,I/O operation on closed file.,,,,
TIC_305176519,I/O operation on closed file.,,,,
TIC_363371869,I/O operation on closed file.,,,,
TIC_423422383,I/O operation on closed file.,,,,
TIC_361282196,I/O operation on closed file.,,,,
TIC_1988836491,Success,0.6160154999815859,5.773480040952563,tic_id_spoc,3.0
TIC_339847182,Success,0.7889858339913189,7.007123082992621,tic_id_spoc,3.0
TIC_294684134,Success,0.3484984589740634,21.70040412497474,tic_id_spoc,3.0
TIC_1988793131,I/O operation on closed file.,,,,
TIC_303696290,I/O operation on closed file.,,,,
TIC_364355149,I/O operation on closed file.,,,,
TIC_1310664333,I/O operation on closed file.,,,,
TIC_277686948,I/O operation on closed file.,,,,
TIC_300643335,I/O operation on closed file.,,,,
TIC_410348210,I/O operation on closed file.,,,,
TIC_1988696923,I/O operation on closed file.,,,,
TIC_360696800,I/O operation on closed file.,,,,
TIC_447185974,I/O operation on closed file.,,,,
TIC_364545901,I/O operation on closed file.,,,,
TIC_352140701,I/O operation on closed file.,,,,
TIC_1922636197,I/O operation on closed file.,,,,
TIC_293901590,I/O operation on closed file.,,,,
TIC_466093558,I/O operation on closed file.,,,,
TIC_1816332953,I/O operation on closed file.,,,,
TIC_361575982,I/O operation on closed file.,,,,
TIC_1987877959,I/O operation on closed file.,,,,
TIC_311175008,I/O operation on closed file.,,,,
TIC_1689103373,I/O operation on closed file.,,,,
TIC_406272866,I/O operation on closed file.,,,,
TIC_371836310,I/O operation on closed file.,,,,
TIC_1988653635,Success,1.2998704999918118,7.0915483749704435,tic_id_spoc,3.0
TIC_345170989,I/O operation on closed file.,,,,
TIC_1987851055,I/O operation on closed file.,,,,
TIC_43705631,I/O operation on closed file.,,,,
TIC_238829525,I/O operation on closed file.,,,,
TIC_311697391,I/O operation on closed file.,,,,
TIC_360541225,I/O operation on closed file.,,,,
TIC_301153917,I/O operation on closed file.,,,,
TIC_277748932,Success,0.3575878749834373,9.815886416006832,tic_id_spoc,3.0
TIC_46473449,"Error in reading Data product /Users/anujtripathi/.cache/lightkurve/mastDownload/TESS/tess2026060005000-s0101-0000000046473449-0303-s/tess2026060005000-s0101-0000000046473449-0303-s_lc.fits of type TessLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again.",,,,
TIC_1310815601,I/O operation on closed file.,,,,
TIC_372442214,I/O operation on closed file.,,,,
TIC_1815541951,I/O operation on closed file.,,,,
TIC_1816562069,I/O operation on closed file.,,,,
TIC_372203352,I/O operation on closed file.,,,,
TIC_324425723,Success,0.3809628330054693,30.055480416980572,tic_id_spoc,3.0
TIC_447749642,I/O operation on closed file.,,,,
TIC_380527368,I/O operation on closed file.,,,,
TIC_343652400,I/O operation on closed file.,,,,
TIC_456324555,I/O operation on closed file.,,,,
TIC_409780413,I/O operation on closed file.,,,,
TIC_344002749,I/O operation on closed file.,,,,
TIC_1815838232,I/O operation on closed file.,,,,
TIC_466307264,Success,5.2348077920032665,15.5540502910153,tic_id_spoc,3.0
TIC_365954183,I/O operation on closed file.,,,,
TIC_349964152,Success,5.906331791949924,14.9934247500496,tic_id_spoc,3.0
TIC_1988436721,I/O operation on closed file.,,,,
TIC_394484050,I/O operation on closed file.,,,,
TIC_301687690,"Error in reading Data product /Users/anujtripathi/.cache/lightkurve/mastDownload/TESS/tess2026060005000-s0101-0000000301687690-0303-s/tess2026060005000-s0101-0000000301687690-0303-s_lc.fits of type TessLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again.",,,,
TIC_371928668,"Error in reading Data product /Users/anujtripathi/.cache/lightkurve/mastDownload/TESS/tess2026111101500-s0103-0000000371928668-0305-s/tess2026111101500-s0103-0000000371928668-0305-s_lc.fits of type TessLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again.",,,,
TIC_396212145,I/O operation on closed file.,,,,
TIC_464378507,"Error in reading Data product /Users/anujtripathi/.cache/lightkurve/mastDownload/TESS/tess2026060005000-s0101-0000000464378507-0303-s/tess2026060005000-s0101-0000000464378507-0303-s_lc.fits of type TessLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again.",,,,
TIC_464317121,"Error in reading Data product /Users/anujtripathi/.cache/lightkurve/mastDownload/TESS/tess2026111101500-s0103-0000000464317121-0305-a_fast/tess2026111101500-s0103-0000000464317121-0305-a_fast-lc.fits of type TessLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again.",,,,
TIC_295253681,I/O operation on closed file.,,,,
TIC_1988286874,I/O operation on closed file.,,,,
TIC_352435054,I/O operation on closed file.,,,,
TIC_362553116,"Error in reading Data product /Users/anujtripathi/.cache/lightkurve/mastDownload/TESS/tess2026060005000-s0101-0000000362553116-0303-s/tess2026060005000-s0101-0000000362553116-0303-s_lc.fits of type TessLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again.",,,,
TIC_1509092906,"Error in reading Data product /Users/anujtripathi/.cache/lightkurve/mastDownload/TESS/tess2026086090000-s0102-0000001509092906-0304-s/tess2026086090000-s0102-0000001509092906-0304-s_lc.fits of type TessLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again.",,,,
TIC_351558953,"Error in reading Data product /Users/anujtripathi/.cache/lightkurve/mastDownload/TESS/tess2026060005000-s0101-0000000351558953-0303-a_fast/tess2026060005000-s0101-0000000351558953-0303-a_fast-lc.fits of type TessLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again.",,,,
TIC_1988410166,"Error in reading Data product /Users/anujtripathi/.cache/lightkurve/mastDownload/TESS/tess2026060005000-s0101-0000001988410166-0303-s/tess2026060005000-s0101-0000001988410166-0303-s_lc.fits of type TessLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again.",,,,
TIC_447627658,I/O operation on closed file.,,,,
TIC_376669357,"Error in reading Data product /Users/anujtripathi/.cache/lightkurve/mastDownload/TESS/tess2026086090000-s0102-0000000376669357-0304-a_fast/tess2026086090000-s0102-0000000376669357-0304-a_fast-lc.fits of type TessLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again.",,,,
TIC_361861044,I/O operation on closed file.,,,,
