host,label,status,elapsed_s,SDE,SDE_raw,FAP,period,period_uncertainty,T0,duration,depth,depth_mean,depth_mean_std,depth_mean_even,depth_mean_odd,odd_even_mismatch,rp_rs,snr,transit_count,distinct_transit_count,empty_transit_count,chi2red_min,depth_consistency_std,secondary_eclipse_depth,transit_shape_ratio,depth_duration_ratio,st_rad,st_teff,st_mass
KIC_7434875,1,Success,5888.0725429058075,64.05181389495418,27.73276322398933,8.0032e-05,370.8093596655408,0.6707203151988779,260.6606540251163,1.2264281134374155,0.9754851390627202,0.9792843329724444,0.0015147085308106457,0.9727741873439076,0.9882357832116833,6.5114237580964565,0.14080622778494234,47.34120341351891,4.0,4.0,0.0,5.499543312388582e-06,0.0069328240755355056,-3.6866843979854735e-06,0.06993674535533115,0.7953871314386655,0.779,5097.0,0.891
KIC_2721030,1,Success,4771.38818693161,49.29538835183086,22.845023124165134,8.0032e-05,370.9906353034418,0.7058933150905204,257.63925759796615,1.3924895478919683,0.9634374865659886,0.9673063425154843,0.0012241839412474383,0.9685829998172337,0.9659871299703435,0.7564067403489221,0.17195910193925973,58.227891326492205,4.0,4.0,0.0,1.6111321436559965e-05,0.0018770438880035538,-1.3640317229057786e-05,6.1198464628700995,0.6918813056977672,0.937,5957.0,1.026
KIC_3937814,1,TLS: Required feature(s) not computable: ['transit_shape_ratio'],2956.4618849754333,,,,,,,,,,,,,,,,,,,,,,,,,,
KIC_9896558,1,Success,2933.7182841300964,30.432377955976676,15.22860832998968,8.0032e-05,655.545217130844,1.452050591732302,444.58719783314797,1.3151880980033843,0.9856390552374004,0.9872735461042027,0.0007311524088794311,0.9841555842984092,0.9902356098197064,3.9781923042786556,0.10777019103978824,57.10445349341667,2.0,2.0,0.0,1.48502323938186e-06,0.0030400127606485805,-1.8248016022903712e-05,-0.6468690695882201,0.749428204782054,1.08,6127.0,0.964
KIC_3657758,1,TLS: Required feature(s) not computable: ['transit_shape_ratio'],3630.3641719818115,,,,,,,,,,,,,,,,,,,,,,,,,,
KIC_11622600,1,Success,6047.0950582027435,34.14772192147426,20.744240329655824,8.0032e-05,560.4838899238533,0.9968585227144899,441.4951960471904,1.8636702724055696,0.9825538798429504,0.9847375124016672,0.001810903458909868,0.9859741397144216,0.9824188361902534,0.8364431152570465,0.11878362545828389,36.864966975422156,3.0,3.0,0.0,6.607684023477311e-06,0.010168058981393844,-5.25170585596868e-06,-39.45793023709161,0.5272144404464312,0.58,4316.0,0.584
KIC_11572193,1,TLS: Required feature(s) not computable: ['transit_shape_ratio'],2854.3589351177216,,,,,,,,,,,,,,,,,,,,,,,,,,
KIC_7703882,1,Success,3825.73864197731,41.44343151939996,25.311873947691375,8.0032e-05,373.54387028695857,0.6033426735505998,352.6939178993682,0.9734463304965347,0.9873739620008564,0.9875583120741341,0.0010690778074674884,0.9844571880297147,0.9927268521481665,4.611341743792787,0.10105101796522098,37.80541883955247,4.0,3.0,1.0,2.2023737324565e-06,0.004671315603153221,3.347791366570263e-06,-0.6350156051488707,1.0143075494436529,0.849,5840.0,0.942
KIC_5978361,1,Success,5838.422130823135,25.947083780406388,15.000772712021364,8.0032e-05,705.3131118316353,0.5357951452267571,540.3515098200555,1.42865236614241,0.9451545648260904,0.9675806518453058,0.004717884892275905,0.9575421877684974,0.9997037368910927,11.997692111305744,0.210609225099233,27.426577307376895,2.0,2.0,0.0,2.7173457127669006e-05,0.021080774561297644,-9.652931763692862e-06,1.6864032009693533,0.6615707132296704,0.788,5506.0,0.876
KIC_8625925,1,TLS: Required feature(s) not computable: ['transit_shape_ratio'],4938.603039979935,,,,,,,,,,,,,,,,,,,,,,,,,,
KIC_8008067,1,TLS: Required feature(s) not computable: ['transit_shape_ratio'],3593.700366973877,,,,,,,,,,,,,,,,,,,,,,,,,,
